,taxi_zone,zip_code
1017,Westerleigh,10302
1018,Westerleigh,10304
1019,Westerleigh,10314
1020,Whitestone,11357
1021,Whitestone,11356
1022,Whitestone,11360
1023,Willets Point,11368
1024,Williamsbridge/Olinville,10466
1025,Williamsbridge/Olinville,10467
1026,Williamsbridge/Olinville,10469
1027,Williamsburg (North Side),11222
1028,Williamsburg (North Side),11211
1029,Williamsburg (South Side),11211
1030,Williamsburg (South Side),11206
1031,Williamsburg (South Side),11251
1032,Windsor Terrace,11218
1033,Windsor Terrace,11226
1034,Windsor Terrace,11215
1035,Windsor Terrace,11232
1036,Woodhaven,11418
1037,Woodhaven,11421
1038,Woodhaven,11416
1039,Woodhaven,11385
1040,Woodhaven,11208
1041,Woodhaven,11417
1042,Woodlawn/Wakefield,10470
1043,Woodlawn/Wakefield,10466
1044,Woodlawn/Wakefield,10467
1045,Woodside,11372
1046,Woodside,11103
1047,Woodside,11377
1048,Woodside,11101
1049,Woodside,11104
1050,Woodside,11378
1051,World Trade Center,10007
1052,World Trade Center,10038
1053,World Trade Center,10006
1054,World Trade Center,10005
1055,World Trade Center,10004
1056,World Trade Center,10280
1057,World Trade Center,10048
1058,World Trade Center,10275
1059,World Trade Center,10080
1060,World Trade Center,10281
1061,Yorkville East,10029
1062,Yorkville East,10128
1063,Yorkville East,10028
1064,Yorkville East,10075
1065,Yorkville West,10128
1066,Yorkville West,10028
1067,Yorkville West,10075
