,taxi_zone,zip_code
137,Cambria Heights,11422
138,Canarsie,11207
139,Canarsie,11203
140,Canarsie,11239
141,Canarsie,11236
142,Canarsie,11234
143,Carroll Gardens,11217
144,Carroll Gardens,11231
145,Carroll Gardens,11215
146,Central Harlem,10027
147,Central Harlem,10026
148,Central Harlem,10035
149,Central Harlem,10025
150,Central Harlem,10029
151,Central Harlem,00083
152,Central Harlem North,10032
153,Central Harlem North,10031
154,Central Harlem North,10039
155,Central Harlem North,10030
156,Central Harlem North,10027
157,Central Harlem North,10037
158,Central Harlem North,10035
159,Central Park,10024
160,Central Park,10026
161,Central Park,10025
162,Central Park,10029
163,Central Park,00083
164,Central Park,10128
165,Central Park,10023
166,Central Park,10028
167,Central Park,10021
168,Central Park,10019
169,Central Park,10022
170,Central Park,10065
171,Central Park,10075
172,Charleston/Tottenville,10314
173,Charleston/Tottenville,10309
174,Charleston/Tottenville,10307
175,Chinatown,10002
176,Chinatown,10013
177,Chinatown,10007
178,Chinatown,10038
179,Claremont/Bathgate,10458
180,Claremont/Bathgate,10457
181,Claremont/Bathgate,10456
182,Clinton East,10036
183,Clinton East,10018
184,Clinton East,10019
185,Clinton Hill,11216
186,Clinton Hill,11211
187,Clinton Hill,11251
188,Clinton Hill,11205
189,Clinton Hill,11238
190,Clinton West,10036
191,Clinton West,10019
192,Co-Op City,10466
193,Co-Op City,10475
194,Co-Op City,10464
195,Co-Op City,10469
196,Cobble Hill,11201
197,Cobble Hill,11231
198,College Point,11357
199,College Point,11356
200,College Point,11354
201,Columbia Street,11201
202,Coney Island,11214
203,Coney Island,11223
204,Coney Island,11235
205,Coney Island,11224
206,Corona,11373
207,Corona,11375
208,Corona,11374
209,Corona,11368
210,Corona,11368
211,Country Club,10465
212,Country Club,10461
213,Crotona Park,10457
214,Crotona Park,10460
215,Crotona Park,10456
216,Crotona Park East,10457
217,Crotona Park East,10460
218,Crotona Park East,10456
219,Crotona Park East,10472
220,Crotona Park East,10459
221,Crown Heights North,11216
222,Crown Heights North,11233
223,Crown Heights North,11213
224,Crown Heights North,11225
225,Crown Heights North,11238
226,Crown Heights South,11216
227,Crown Heights South,11213
228,Crown Heights South,11225
229,Crown Heights South,11238
230,Crown Heights South,11203
231,Cypress Hills,11421
232,Cypress Hills,11416
233,Cypress Hills,11233
234,Cypress Hills,11385
235,Cypress Hills,11208
236,Cypress Hills,11207
237,Cypress Hills,11417
238,Cypress Hills,11414
239,Douglaston,11426
240,Douglaston,11363
241,Douglaston,11361
242,Douglaston,11362
243,Douglaston,11364
244,Douglaston,11005
245,Downtown Brooklyn/MetroTech,11201
246,DUMBO/Vinegar Hill,11251
247,DUMBO/Vinegar Hill,11201
248,Dyker Heights,11219
249,Dyker Heights,11220
250,Dyker Heights,11209
251,Dyker Heights,11228
252,East Chelsea,10018
253,East Chelsea,10001
254,East Chelsea,10011
255,East Chelsea,10014
256,East Concourse/Concourse Village,10457
257,East Concourse/Concourse Village,10452
258,East Concourse/Concourse Village,10456
259,East Concourse/Concourse Village,10451
260,East Elmhurst,11372
261,East Elmhurst,11371
262,East Elmhurst,11369
263,East Elmhurst,11368
264,East Flatbush/Farragut,11226
265,East Flatbush/Farragut,11210
266,East Flatbush/Farragut,11203
267,East Flatbush/Farragut,11234
268,East Flatbush/Remsen Village,11213
269,East Flatbush/Remsen Village,11212
270,East Flatbush/Remsen Village,11203
271,East Flatbush/Remsen Village,11236
272,East Flatbush/Remsen Village,11234
273,East Flushing,11365
274,East Flushing,11358
275,East Flushing,11355
276,East Harlem North,10039
277,East Harlem North,10027
278,East Harlem North,10037
279,East Harlem North,10026
280,East Harlem North,10035
281,East Harlem North,10029
282,East Harlem South,10026
283,East Harlem South,10029
284,East Harlem South,00083
285,East Harlem South,10128
286,East New York,11212
287,East New York,11208
288,East New York,11207
289,East New York,11414
290,East New York,11239
291,East New York,11236
292,East New York/Pennsylvania Avenue,11233
293,East New York/Pennsylvania Avenue,11212
294,East New York/Pennsylvania Avenue,11207
295,East Tremont,10458
296,East Tremont,10462
297,East Tremont,10457
298,East Tremont,10460
299,East Village,10003
300,East Village,10002
301,East Village,10009
302,East Village,10012
303,East Williamsburg,11222
304,East Williamsburg,11211
305,East Williamsburg,11237
306,East Williamsburg,11385
307,East Williamsburg,11206
308,Eastchester,10466
309,Eastchester,10475
310,Eastchester,10464
311,Eastchester,10469
312,Elmhurst,11372
313,Elmhurst,11373
314,Elmhurst,11374
315,Elmhurst,11368
316,Elmhurst,11377
317,Elmhurst,11378
318,Elmhurst/Maspeth,11372
319,Elmhurst/Maspeth,11373
320,Elmhurst/Maspeth,11377
321,Elmhurst/Maspeth,11378
322,Eltingville/Annadale/Prince's Bay,10314
323,Eltingville/Annadale/Prince's Bay,10312
324,Eltingville/Annadale/Prince's Bay,10309
325,Erasmus,11226
326,Erasmus,11210
327,Erasmus,11203
328,Far Rockaway,11691
329,Far Rockaway,11096
330,Financial District North,10007
331,Financial District North,10038
332,Financial District North,10006
333,Financial District North,10005
334,Financial District North,10004
335,Financial District North,10270
336,Financial District North,10271
337,Financial District North,10043
338,Financial District North,10081
339,Financial District North,10265
340,Financial District North,10045
341,Financial District North,10203
342,Financial District North,10259
343,Financial District North,10260
344,Financial District North,10286
345,Financial District South,10006
346,Financial District South,10005
347,Financial District South,10004
348,Financial District South,10041
349,Flatbush/Ditmas Park,11225
350,Flatbush/Ditmas Park,11218
351,Flatbush/Ditmas Park,11226
352,Flatbush/Ditmas Park,11210
353,Flatbush/Ditmas Park,11230
354,Flatbush/Ditmas Park,11204
355,Flatbush/Ditmas Park,11215
356,Flatbush/Ditmas Park,11203
357,Flatiron,10001
358,Flatiron,10011
359,Flatiron,10010
360,Flatiron,10014
361,Flatlands,11210
362,Flatlands,11203
363,Flatlands,11236
364,Flatlands,11234
365,Flatlands,11229
366,Flushing,11357
367,Flushing,11354
368,Flushing,11368
369,Flushing,11355
370,Flushing Meadows-Corona Park,11375
371,Flushing Meadows-Corona Park,11435
372,Flushing Meadows-Corona Park,11369
373,Flushing Meadows-Corona Park,11368
374,Flushing Meadows-Corona Park,11355
375,Flushing Meadows-Corona Park,11367
376,Fordham South,10468
377,Fordham South,10458
378,Fordham South,10453
379,Fordham South,10457
380,Forest Hills,11375
381,Forest Hills,11374
382,Forest Hills,11415
383,Forest Hills,11368
384,Forest Hills,11385
385,Forest Park/Highland Park,11375
386,Forest Park/Highland Park,11415
387,Forest Park/Highland Park,11418
388,Forest Park/Highland Park,11421
389,Forest Park/Highland Park,11385
390,Forest Park/Highland Park,11208
391,Forest Park/Highland Park,11207
392,Fort Greene,11251
393,Fort Greene,11201
394,Fort Greene,11205
395,Fort Greene,11217
396,Fort Greene,11238
397,Fresh Meadows,11365
398,Fresh Meadows,11427
399,Fresh Meadows,11366
400,Fresh Meadows,11423
401,Fresh Meadows,11432
402,Fresh Meadows,11364
403,Freshkills Park,10314
404,Freshkills Park,10312
405,Freshkills Park,10309
406,Garment District,10036
407,Garment District,10018
408,Garment District,10001
409,Garment District,10122
410,Garment District,10123
411,Glen Oaks,11004
412,Glen Oaks,11040
413,Glen Oaks,11426
414,Glen Oaks,11001
415,Glen Oaks,11005
416,Glendale,11375
417,Glendale,11374
418,Glendale,11379
419,Glendale,11385
420,Governor's Island/Ellis Island/Liberty Island,10004
421,Governor's Island/Ellis Island/Liberty Island,10004
422,Governor's Island/Ellis Island/Liberty Island,10004
423,Gowanus,11217
424,Gowanus,11231
425,Gowanus,11215
426,Gramercy,10016
427,Gramercy,10010
428,Gramercy,10003
429,Gramercy,10009
430,Gramercy,10047
431,Gramercy,10047
432,Gravesend,11214
433,Gravesend,11223
434,Gravesend,11235
435,Gravesend,11224
436,Great Kills,10314
437,Great Kills,10306
438,Great Kills,10308
439,Great Kills,10312
440,Great Kills Park,10306
441,Great Kills Park,10308
442,Green-Wood Cemetery,11218
443,Green-Wood Cemetery,11219
444,Green-Wood Cemetery,11215
445,Green-Wood Cemetery,11232
446,Greenpoint,11222
447,Greenpoint,11211
448,Greenwich Village North,10011
449,Greenwich Village North,10014
450,Greenwich Village North,10003
451,Greenwich Village North,10012
452,Greenwich Village South,10011
453,Greenwich Village South,10014
454,Greenwich Village South,10003
455,Greenwich Village South,10002
456,Greenwich Village South,10012
457,Grymes Hill/Clifton,10301
458,Grymes Hill/Clifton,10304
459,Grymes Hill/Clifton,10305
460,Hamilton Heights,10032
461,Hamilton Heights,10031
462,Hamilton Heights,10039
463,Hamilton Heights,10030
464,Hammels/Arverne,11691
465,Hammels/Arverne,11692
466,Hammels/Arverne,11693
467,Heartland Village/Todt Hill,10301
468,Heartland Village/Todt Hill,10304
469,Heartland Village/Todt Hill,10314
470,Heartland Village/Todt Hill,10306
471,Heartland Village/Todt Hill,10308
472,Heartland Village/Todt Hill,10312
473,Highbridge,10452
474,Highbridge,10451
475,Highbridge Park,10034
476,Highbridge Park,10033
477,Highbridge Park,10040
478,Highbridge Park,10032
479,Highbridge Park,10039
480,Hillcrest/Pomonok,11365
481,Hillcrest/Pomonok,11366
482,Hillcrest/Pomonok,11432
483,Hillcrest/Pomonok,11367
484,Hollis,11427
485,Hollis,11423
486,Hollis,11428
487,Hollis,11429
488,Hollis,11412
489,Homecrest,11230
490,Homecrest,11204
491,Homecrest,11229
492,Homecrest,11223
493,Homecrest,11235
494,Howard Beach,11208
495,Howard Beach,11420
496,Howard Beach,11417
497,Howard Beach,11414
498,Howard Beach,11430
499,Hudson Sq,10014
500,Hudson Sq,10012
501,Hudson Sq,10013
502,Hunts Point,10459
503,Hunts Point,10474
504,Hunts Point,10455
505,Hunts Point,10454
506,Inwood,10034
507,Inwood,10040
508,Inwood Hill Park,10463
509,Jackson Heights,11372
510,Jackson Heights,11373
511,Jackson Heights,11371
512,Jackson Heights,11370
513,Jackson Heights,11369
514,Jackson Heights,11368
515,Jackson Heights,11377
516,Jamaica,11423
517,Jamaica,11432
518,Jamaica,11435
519,Jamaica,11433
520,Jamaica,11451
521,Jamaica Estates,11427
522,Jamaica Estates,11366
523,Jamaica Estates,11423
524,Jamaica Estates,11428
525,Jamaica Estates,11432
526,JFK Airport,11434
527,JFK Airport,11413
528,JFK Airport,11420
529,JFK Airport,11414
530,JFK Airport,11430
531,Kensington,11218
532,Kensington,11232
533,Kew Gardens,11375
534,Kew Gardens,11435
535,Kew Gardens,11415
536,Kew Gardens,11418
537,Kew Gardens,11367
538,Kew Gardens,11385
539,Kew Gardens Hills,11365
540,Kew Gardens Hills,11366
541,Kew Gardens Hills,11432
542,Kew Gardens Hills,11435
543,Kew Gardens Hills,11367
544,Kingsbridge Heights,10463
545,Kingsbridge Heights,10468
546,Kingsbridge Heights,10463
547,Kingsbridge Heights,10453
548,Kips Bay,10016
549,Kips Bay,10010
550,Kips Bay,10002
551,LaGuardia Airport,11371
552,LaGuardia Airport,11370
553,LaGuardia Airport,11369
554,LaGuardia Airport,11368
555,Laurelton,11411
556,Laurelton,11413
557,Laurelton,11422
558,Lenox Hill East,10021
559,Lenox Hill East,10162
560,Lenox Hill East,10022
561,Lenox Hill East,10065
562,Lenox Hill East,10075
563,Lenox Hill West,10021
564,Lenox Hill West,10022
565,Lenox Hill West,10065
566,Lenox Hill West,10075
567,Lincoln Square East,00083
568,Lincoln Square East,10023
569,Lincoln Square East,10019
570,Lincoln Square West,10023
571,Lincoln Square West,10019
572,Lincoln Square West,10069
573,Little Italy/NoLiTa,10003
574,Little Italy/NoLiTa,10002
575,Little Italy/NoLiTa,10012
576,Little Italy/NoLiTa,10013
577,Long Island City/Hunters Point,11101
578,Long Island City/Hunters Point,11109
579,Long Island City/Queens Plaza,11106
580,Long Island City/Queens Plaza,11101
581,Longwood,10456
582,Longwood,10459
583,Longwood,10474
584,Longwood,10455
585,Longwood,10454
586,Lower East Side,10003
587,Lower East Side,10002
588,Lower East Side,10009
589,Lower East Side,10012
590,Lower East Side,10013
591,Madison,11210
592,Madison,11230
593,Madison,11234
594,Madison,11229
595,Manhattan Beach,11235
596,Manhattan Valley,10024
597,Manhattan Valley,10025
598,Manhattan Valley,00083
599,Manhattanville,10031
600,Manhattanville,10030
601,Manhattanville,10027
602,Manhattanville,10024
603,Marble Hill,10463
604,Marble Hill,10463
605,Marine Park/Floyd Bennett Field,11234
606,Marine Park/Floyd Bennett Field,11229
607,Marine Park/Mill Basin,11210
608,Marine Park/Mill Basin,11236
609,Marine Park/Mill Basin,11234
610,Marine Park/Mill Basin,11229
611,Mariners Harbor,10303
612,Mariners Harbor,10302
613,Mariners Harbor,10314
614,Maspeth,11373
615,Maspeth,11379
616,Maspeth,11377
617,Maspeth,11378
618,Maspeth,11385
619,Meatpacking/West Village West,10011
620,Meatpacking/West Village West,10014
621,Meatpacking/West Village West,10013
622,Melrose South,10456
623,Melrose South,10459
624,Melrose South,10451
625,Melrose South,10455
626,Melrose South,10454
627,Middle Village,11373
628,Middle Village,11374
629,Middle Village,11379
630,Middle Village,11378
631,Middle Village,11385
632,Midtown Center,10036
633,Midtown Center,10018
634,Midtown Center,10020
635,Midtown Center,10017
636,Midtown Center,10055
637,Midtown Center,10176
638,Midtown Center,10019
639,Midtown Center,10111
640,Midtown Center,10103
641,Midtown Center,10177
642,Midtown Center,10104
643,Midtown Center,10110
644,Midtown Center,10175
645,Midtown Center,10173
646,Midtown Center,10022
647,Midtown Center,10096
648,Midtown Center,10196
649,Midtown Center,10196
650,Midtown East,10017
651,Midtown East,10170
652,Midtown East,10112
653,Midtown East,10174
654,Midtown East,10166
655,Midtown East,10169
656,Midtown East,10167
657,Midtown East,10172
658,Midtown East,10171
