,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,67,green,1555,41227.25,2020,1,72,1,2020-01-01,East Flatbush/Remsen Village
1,336,yellow,786,24316.26,2020,1,72,1,2020-01-01,East Flatbush/Remsen Village
2,69,green,1094,30269.88,2020,2,72,1,2020-02-01,East Flatbush/Remsen Village
3,336,yellow,581,17837.36,2020,2,72,1,2020-02-01,East Flatbush/Remsen Village
4,69,green,680,14354.69,2020,3,72,1,2020-03-01,East Flatbush/Remsen Village
5,336,yellow,406,10454.13,2020,3,72,1,2020-03-01,East Flatbush/Remsen Village
6,65,green,116,3704.37,2020,4,72,1,2020-04-01,East Flatbush/Remsen Village
7,330,yellow,130,3264.4800000000005,2020,4,72,1,2020-04-01,East Flatbush/Remsen Village
8,67,green,284,7919.259999999999,2020,5,72,1,2020-05-01,East Flatbush/Remsen Village
9,335,yellow,371,9862.37,2020,5,72,1,2020-05-01,East Flatbush/Remsen Village
10,67,green,380,11440.260000000002,2020,6,72,1,2020-06-01,East Flatbush/Remsen Village
11,335,yellow,440,16157.45,2020,6,72,1,2020-06-01,East Flatbush/Remsen Village
12,68,green,453,14942.620000000004,2020,7,72,1,2020-07-01,East Flatbush/Remsen Village
13,336,yellow,631,25295.17,2020,7,72,1,2020-07-01,East Flatbush/Remsen Village
14,69,green,468,15154.940000000002,2020,8,72,1,2020-08-01,East Flatbush/Remsen Village
15,335,yellow,728,27740.08,2020,8,72,1,2020-08-01,East Flatbush/Remsen Village
16,66,green,521,16176.78,2020,9,72,1,2020-09-01,East Flatbush/Remsen Village
17,336,yellow,636,20151.43,2020,9,72,1,2020-09-01,East Flatbush/Remsen Village
18,69,green,561,16993.33,2020,10,72,1,2020-10-01,East Flatbush/Remsen Village
19,335,yellow,742,23739.39,2020,10,72,1,2020-10-01,East Flatbush/Remsen Village
20,69,green,529,16127.38,2020,11,72,1,2020-11-01,East Flatbush/Remsen Village
21,335,yellow,597,18701.980000000003,2020,11,72,1,2020-11-01,East Flatbush/Remsen Village
22,67,green,475,14195.680000000002,2020,12,72,1,2020-12-01,East Flatbush/Remsen Village
23,335,yellow,661,20513.26,2020,12,72,1,2020-12-01,East Flatbush/Remsen Village
24,69,green,2169,48971.89,2019,1,72,1,2019-01-01,East Flatbush/Remsen Village
25,336,yellow,701,19169.67,2019,1,72,1,2019-01-01,East Flatbush/Remsen Village
26,70,green,2001,45704.82000000001,2019,2,72,1,2019-02-01,East Flatbush/Remsen Village
27,336,yellow,792,22098.710000000003,2019,2,72,1,2019-02-01,East Flatbush/Remsen Village
28,70,green,1878,43444.920000000006,2019,3,72,1,2019-03-01,East Flatbush/Remsen Village
29,336,yellow,737,19811.890000000003,2019,3,72,1,2019-03-01,East Flatbush/Remsen Village
30,71,green,1093,23140.25,2019,4,72,1,2019-04-01,East Flatbush/Remsen Village
31,336,yellow,506,13903.95,2019,4,72,1,2019-04-01,East Flatbush/Remsen Village
32,70,green,1102,23094.49,2019,5,72,1,2019-05-01,East Flatbush/Remsen Village
33,336,yellow,477,14589.750000000004,2019,5,72,1,2019-05-01,East Flatbush/Remsen Village
34,69,green,933,19337.160000000003,2019,6,72,1,2019-06-01,East Flatbush/Remsen Village
35,336,yellow,543,13805.48,2019,6,72,1,2019-06-01,East Flatbush/Remsen Village
36,69,green,1250,30774.57,2019,7,72,1,2019-07-01,East Flatbush/Remsen Village
37,336,yellow,666,19496.61,2019,7,72,1,2019-07-01,East Flatbush/Remsen Village
38,71,green,1258,32258.4,2019,8,72,1,2019-08-01,East Flatbush/Remsen Village
39,336,yellow,563,16673.7,2019,8,72,1,2019-08-01,East Flatbush/Remsen Village
40,70,green,1303,32035.74,2019,9,72,1,2019-09-01,East Flatbush/Remsen Village
41,336,yellow,595,17147.02,2019,9,72,1,2019-09-01,East Flatbush/Remsen Village
42,70,green,1579,44127.97,2019,10,72,1,2019-10-01,East Flatbush/Remsen Village
43,336,yellow,661,20561.41,2019,10,72,1,2019-10-01,East Flatbush/Remsen Village
44,69,green,1303,35796.72,2019,11,72,1,2019-11-01,East Flatbush/Remsen Village
45,336,yellow,651,20167.18,2019,11,72,1,2019-11-01,East Flatbush/Remsen Village
46,69,green,1376,38372.09,2019,12,72,1,2019-12-01,East Flatbush/Remsen Village
47,336,yellow,648,20360.96,2019,12,72,1,2019-12-01,East Flatbush/Remsen Village
