,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,119,green,724,21106.01,2020,1,131,1,2020-01-01,Jamaica Estates
1,392,yellow,283,10015.03,2020,1,131,1,2020-01-01,Jamaica Estates
2,121,green,459,14432.73,2020,2,131,1,2020-02-01,Jamaica Estates
3,392,yellow,199,8241.080000000002,2020,2,131,1,2020-02-01,Jamaica Estates
4,121,green,272,6183.52,2020,3,131,1,2020-03-01,Jamaica Estates
5,392,yellow,129,4244.42,2020,3,131,1,2020-03-01,Jamaica Estates
6,114,green,36,1201.71,2020,4,131,1,2020-04-01,Jamaica Estates
7,383,yellow,34,1104.4900000000002,2020,4,131,1,2020-04-01,Jamaica Estates
8,119,green,73,2209.9,2020,5,131,1,2020-05-01,Jamaica Estates
9,390,yellow,96,3316.01,2020,5,131,1,2020-05-01,Jamaica Estates
10,119,green,93,2941.8900000000003,2020,6,131,1,2020-06-01,Jamaica Estates
11,388,yellow,85,3051.3,2020,6,131,1,2020-06-01,Jamaica Estates
12,120,green,139,4733.68,2020,7,131,1,2020-07-01,Jamaica Estates
13,391,yellow,171,7299.44,2020,7,131,1,2020-07-01,Jamaica Estates
14,122,green,190,6664.32,2020,8,131,1,2020-08-01,Jamaica Estates
15,390,yellow,197,7527.250000000002,2020,8,131,1,2020-08-01,Jamaica Estates
16,119,green,203,6497.280000000001,2020,9,131,1,2020-09-01,Jamaica Estates
17,391,yellow,207,6905.27,2020,9,131,1,2020-09-01,Jamaica Estates
18,122,green,192,6241.860000000001,2020,10,131,1,2020-10-01,Jamaica Estates
19,391,yellow,250,8675.34,2020,10,131,1,2020-10-01,Jamaica Estates
20,121,green,186,6269.83,2020,11,131,1,2020-11-01,Jamaica Estates
21,390,yellow,223,7542.1,2020,11,131,1,2020-11-01,Jamaica Estates
22,121,green,197,6242.52,2020,12,131,1,2020-12-01,Jamaica Estates
23,391,yellow,228,7701.290000000001,2020,12,131,1,2020-12-01,Jamaica Estates
24,123,green,708,17354.200000000004,2019,1,131,1,2019-01-01,Jamaica Estates
25,393,yellow,297,9937.15,2019,1,131,1,2019-01-01,Jamaica Estates
26,125,green,682,17914.86,2019,2,131,1,2019-02-01,Jamaica Estates
27,391,yellow,252,9104.22,2019,2,131,1,2019-02-01,Jamaica Estates
28,126,green,746,18977.99,2019,3,131,1,2019-03-01,Jamaica Estates
29,392,yellow,316,10728.31,2019,3,131,1,2019-03-01,Jamaica Estates
30,125,green,427,9872.47,2019,4,131,1,2019-04-01,Jamaica Estates
31,392,yellow,248,7860.19,2019,4,131,1,2019-04-01,Jamaica Estates
32,123,green,358,8774.300000000003,2019,5,131,1,2019-05-01,Jamaica Estates
33,392,yellow,176,6114.700000000001,2019,5,131,1,2019-05-01,Jamaica Estates
34,121,green,307,6758.92,2019,6,131,1,2019-06-01,Jamaica Estates
35,392,yellow,201,5901.980000000001,2019,6,131,1,2019-06-01,Jamaica Estates
36,120,green,440,12144.960000000005,2019,7,131,1,2019-07-01,Jamaica Estates
37,392,yellow,300,10218.57,2019,7,131,1,2019-07-01,Jamaica Estates
38,122,green,513,15262.61,2019,8,131,1,2019-08-01,Jamaica Estates
39,392,yellow,219,7200.549999999999,2019,8,131,1,2019-08-01,Jamaica Estates
40,124,green,470,14553.07,2019,9,131,1,2019-09-01,Jamaica Estates
41,392,yellow,250,9027.04,2019,9,131,1,2019-09-01,Jamaica Estates
42,122,green,616,19713.870000000003,2019,10,131,1,2019-10-01,Jamaica Estates
43,392,yellow,273,10116.13,2019,10,131,1,2019-10-01,Jamaica Estates
44,123,green,606,19296.99,2019,11,131,1,2019-11-01,Jamaica Estates
45,392,yellow,271,8811.19,2019,11,131,1,2019-11-01,Jamaica Estates
46,123,green,581,18107.12,2019,12,131,1,2019-12-01,Jamaica Estates
47,392,yellow,259,9267.32,2019,12,131,1,2019-12-01,Jamaica Estates
