,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,62,green,332,10165.17,2020,1,67,1,2020-01-01,Dyker Heights
1,331,yellow,143,4562.52,2020,1,67,1,2020-01-01,Dyker Heights
2,64,green,260,8141.519999999999,2020,2,67,1,2020-02-01,Dyker Heights
3,331,yellow,108,3137.3300000000004,2020,2,67,1,2020-02-01,Dyker Heights
4,64,green,135,3303.87,2020,3,67,1,2020-03-01,Dyker Heights
5,331,yellow,58,1895.71,2020,3,67,1,2020-03-01,Dyker Heights
6,60,green,11,407.83,2020,4,67,1,2020-04-01,Dyker Heights
7,325,yellow,3,63.69,2020,4,67,1,2020-04-01,Dyker Heights
8,62,green,25,641.69,2020,5,67,1,2020-05-01,Dyker Heights
9,330,yellow,44,1380.89,2020,5,67,1,2020-05-01,Dyker Heights
10,62,green,55,1798.24,2020,6,67,1,2020-06-01,Dyker Heights
11,330,yellow,56,1723.73,2020,6,67,1,2020-06-01,Dyker Heights
12,63,green,57,1516.8000000000002,2020,7,67,1,2020-07-01,Dyker Heights
13,331,yellow,75,2480.24,2020,7,67,1,2020-07-01,Dyker Heights
14,64,green,58,1627.35,2020,8,67,1,2020-08-01,Dyker Heights
15,330,yellow,85,2601.4299999999994,2020,8,67,1,2020-08-01,Dyker Heights
16,61,green,97,2500.18,2020,9,67,1,2020-09-01,Dyker Heights
17,331,yellow,114,4006.61,2020,9,67,1,2020-09-01,Dyker Heights
18,64,green,136,3740.46,2020,10,67,1,2020-10-01,Dyker Heights
19,330,yellow,140,4575.860000000001,2020,10,67,1,2020-10-01,Dyker Heights
20,64,green,115,3568.4,2020,11,67,1,2020-11-01,Dyker Heights
21,330,yellow,142,4363.99,2020,11,67,1,2020-11-01,Dyker Heights
22,62,green,105,2869.03,2020,12,67,1,2020-12-01,Dyker Heights
23,330,yellow,131,4435.16,2020,12,67,1,2020-12-01,Dyker Heights
24,64,green,485,11511.300000000005,2019,1,67,1,2019-01-01,Dyker Heights
25,331,yellow,205,5807.6500000000015,2019,1,67,1,2019-01-01,Dyker Heights
26,65,green,442,10992.320000000003,2019,2,67,1,2019-02-01,Dyker Heights
27,331,yellow,186,5445.660000000001,2019,2,67,1,2019-02-01,Dyker Heights
28,65,green,425,10063.920000000002,2019,3,67,1,2019-03-01,Dyker Heights
29,331,yellow,191,5152.630000000001,2019,3,67,1,2019-03-01,Dyker Heights
30,66,green,254,5295.25,2019,4,67,1,2019-04-01,Dyker Heights
31,331,yellow,110,3340.000000000002,2019,4,67,1,2019-04-01,Dyker Heights
32,65,green,218,5213.3200000000015,2019,5,67,1,2019-05-01,Dyker Heights
33,331,yellow,139,3776.41,2019,5,67,1,2019-05-01,Dyker Heights
34,64,green,194,4537.590000000002,2019,6,67,1,2019-06-01,Dyker Heights
35,331,yellow,161,4065.61,2019,6,67,1,2019-06-01,Dyker Heights
36,64,green,316,8774.29,2019,7,67,1,2019-07-01,Dyker Heights
37,331,yellow,147,4429.93,2019,7,67,1,2019-07-01,Dyker Heights
38,66,green,262,7678.360000000002,2019,8,67,1,2019-08-01,Dyker Heights
39,331,yellow,121,3688.09,2019,8,67,1,2019-08-01,Dyker Heights
40,65,green,270,7504.540000000001,2019,9,67,1,2019-09-01,Dyker Heights
41,331,yellow,139,4030.870000000001,2019,9,67,1,2019-09-01,Dyker Heights
42,65,green,307,8782.94,2019,10,67,1,2019-10-01,Dyker Heights
43,331,yellow,128,4119.5,2019,10,67,1,2019-10-01,Dyker Heights
44,64,green,300,8696.07,2019,11,67,1,2019-11-01,Dyker Heights
45,331,yellow,131,3723.33,2019,11,67,1,2019-11-01,Dyker Heights
46,64,green,331,10186.14,2019,12,67,1,2019-12-01,Dyker Heights
47,331,yellow,211,6956.79,2019,12,67,1,2019-12-01,Dyker Heights
