,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,52,green,27,343.71000000000004,2020,1,57,1,2020-01-01,Corona
1,321,yellow,15,483.32,2020,1,57,1,2020-01-01,Corona
2,54,green,48,729.27,2020,2,57,1,2020-02-01,Corona
3,321,yellow,12,452.73,2020,2,57,1,2020-02-01,Corona
4,54,green,26,404.46,2020,3,57,1,2020-03-01,Corona
5,321,yellow,10,251.48,2020,3,57,1,2020-03-01,Corona
6,50,green,2,54.72,2020,4,57,1,2020-04-01,Corona
7,519,yellow,0,0.0,2020,4,57,1,2020-04-01,Corona
8,52,green,6,168.16,2020,5,57,1,2020-05-01,Corona
9,320,yellow,13,432.2700000000001,2020,5,57,1,2020-05-01,Corona
10,52,green,14,410.29,2020,6,57,1,2020-06-01,Corona
11,320,yellow,34,1403.5300000000002,2020,6,57,1,2020-06-01,Corona
12,53,green,24,799.49,2020,7,57,1,2020-07-01,Corona
13,321,yellow,31,1509.9300000000003,2020,7,57,1,2020-07-01,Corona
14,54,green,26,842.14,2020,8,57,1,2020-08-01,Corona
15,320,yellow,39,1563.26,2020,8,57,1,2020-08-01,Corona
16,51,green,20,585.84,2020,9,57,1,2020-09-01,Corona
17,321,yellow,37,1132.6500000000003,2020,9,57,1,2020-09-01,Corona
18,54,green,30,975.33,2020,10,57,1,2020-10-01,Corona
19,320,yellow,43,1502.96,2020,10,57,1,2020-10-01,Corona
20,54,green,38,1235.02,2020,11,57,1,2020-11-01,Corona
21,320,yellow,41,1456.06,2020,11,57,1,2020-11-01,Corona
22,53,green,24,724.12,2020,12,57,1,2020-12-01,Corona
23,320,yellow,36,1215.11,2020,12,57,1,2020-12-01,Corona
24,54,green,36,561.3299999999998,2019,1,57,1,2019-01-01,Corona
25,321,yellow,25,712.4399999999999,2019,1,57,1,2019-01-01,Corona
26,55,green,50,620.4499999999998,2019,2,57,1,2019-02-01,Corona
27,321,yellow,15,601.0699999999998,2019,2,57,1,2019-02-01,Corona
28,55,green,84,1406.12,2019,3,57,1,2019-03-01,Corona
29,321,yellow,16,367.64,2019,3,57,1,2019-03-01,Corona
30,56,green,66,1195.72,2019,4,57,1,2019-04-01,Corona
31,321,yellow,26,1148.06,2019,4,57,1,2019-04-01,Corona
32,55,green,90,1576.37,2019,5,57,1,2019-05-01,Corona
33,321,yellow,20,667.8699999999998,2019,5,57,1,2019-05-01,Corona
34,54,green,74,1404.37,2019,6,57,1,2019-06-01,Corona
35,321,yellow,27,1081.29,2019,6,57,1,2019-06-01,Corona
36,54,green,65,1351.3200000000002,2019,7,57,1,2019-07-01,Corona
37,321,yellow,20,485.75,2019,7,57,1,2019-07-01,Corona
38,56,green,83,1890.36,2019,8,57,1,2019-08-01,Corona
39,321,yellow,38,1197.2399999999996,2019,8,57,1,2019-08-01,Corona
40,55,green,87,2029.92,2019,9,57,1,2019-09-01,Corona
41,321,yellow,25,474.66,2019,9,57,1,2019-09-01,Corona
42,55,green,98,3171.52,2019,10,57,1,2019-10-01,Corona
43,321,yellow,22,515.7900000000001,2019,10,57,1,2019-10-01,Corona
44,54,green,87,1370.28,2019,11,57,1,2019-11-01,Corona
45,321,yellow,16,488.85,2019,11,57,1,2019-11-01,Corona
46,54,green,56,1254.7,2019,12,57,1,2019-12-01,Corona
47,321,yellow,13,373.56000000000006,2019,12,57,1,2019-12-01,Corona
