,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,225,green,110,3508.0600000000004,2020,1,240,1,2020-01-01,Van Cortlandt Park
1,500,yellow,35,1226.09,2020,1,240,1,2020-01-01,Van Cortlandt Park
2,228,green,94,3345.83,2020,2,240,1,2020-02-01,Van Cortlandt Park
3,499,yellow,41,1376.63,2020,2,240,1,2020-02-01,Van Cortlandt Park
4,227,green,48,1252.13,2020,3,240,1,2020-03-01,Van Cortlandt Park
5,499,yellow,21,650.9399999999999,2020,3,240,1,2020-03-01,Van Cortlandt Park
6,212,green,8,256.89,2020,4,240,1,2020-04-01,Van Cortlandt Park
7,490,yellow,22,729.7900000000001,2020,4,240,1,2020-04-01,Van Cortlandt Park
8,225,green,23,815.03,2020,5,240,1,2020-05-01,Van Cortlandt Park
9,499,yellow,44,2155.62,2020,5,240,1,2020-05-01,Van Cortlandt Park
10,225,green,24,970.88,2020,6,240,1,2020-06-01,Van Cortlandt Park
11,497,yellow,48,2459.57,2020,6,240,1,2020-06-01,Van Cortlandt Park
12,225,green,39,1436.64,2020,7,240,1,2020-07-01,Van Cortlandt Park
13,498,yellow,43,1936.99,2020,7,240,1,2020-07-01,Van Cortlandt Park
14,227,green,36,1050.95,2020,8,240,1,2020-08-01,Van Cortlandt Park
15,498,yellow,52,2488.3600000000006,2020,8,240,1,2020-08-01,Van Cortlandt Park
16,222,green,42,1169.09,2020,9,240,1,2020-09-01,Van Cortlandt Park
17,498,yellow,51,2018.74,2020,9,240,1,2020-09-01,Van Cortlandt Park
18,226,green,43,1559.08,2020,10,240,1,2020-10-01,Van Cortlandt Park
19,499,yellow,73,2727.53,2020,10,240,1,2020-10-01,Van Cortlandt Park
20,227,green,28,891.46,2020,11,240,1,2020-11-01,Van Cortlandt Park
21,499,yellow,50,2141.06,2020,11,240,1,2020-11-01,Van Cortlandt Park
22,227,green,34,881.29,2020,12,240,1,2020-12-01,Van Cortlandt Park
23,499,yellow,48,1774.51,2020,12,240,1,2020-12-01,Van Cortlandt Park
24,230,green,113,2657.1400000000003,2019,1,240,1,2019-01-01,Van Cortlandt Park
25,502,yellow,40,1081.77,2019,1,240,1,2019-01-01,Van Cortlandt Park
26,232,green,144,3651.97,2019,2,240,1,2019-02-01,Van Cortlandt Park
27,500,yellow,44,1361.2699999999998,2019,2,240,1,2019-02-01,Van Cortlandt Park
28,234,green,122,3608.420000000001,2019,3,240,1,2019-03-01,Van Cortlandt Park
29,500,yellow,66,1582.47,2019,3,240,1,2019-03-01,Van Cortlandt Park
30,232,green,85,2471.900000000001,2019,4,240,1,2019-04-01,Van Cortlandt Park
31,500,yellow,50,1631.76,2019,4,240,1,2019-04-01,Van Cortlandt Park
32,232,green,74,1977.77,2019,5,240,1,2019-05-01,Van Cortlandt Park
33,500,yellow,37,1451.2799999999995,2019,5,240,1,2019-05-01,Van Cortlandt Park
34,227,green,58,1324.35,2019,6,240,1,2019-06-01,Van Cortlandt Park
35,500,yellow,53,1606.06,2019,6,240,1,2019-06-01,Van Cortlandt Park
36,220,green,93,2668.34,2019,7,240,1,2019-07-01,Van Cortlandt Park
37,500,yellow,52,1667.52,2019,7,240,1,2019-07-01,Van Cortlandt Park
38,226,green,92,2945.74,2019,8,240,1,2019-08-01,Van Cortlandt Park
39,500,yellow,55,1771.28,2019,8,240,1,2019-08-01,Van Cortlandt Park
40,231,green,85,2763.1500000000005,2019,9,240,1,2019-09-01,Van Cortlandt Park
41,500,yellow,36,1078.1799999999998,2019,9,240,1,2019-09-01,Van Cortlandt Park
42,230,green,100,3078.19,2019,10,240,1,2019-10-01,Van Cortlandt Park
43,499,yellow,35,1400.8899999999996,2019,10,240,1,2019-10-01,Van Cortlandt Park
44,231,green,97,2941.66,2019,11,240,1,2019-11-01,Van Cortlandt Park
45,499,yellow,30,1293.04,2019,11,240,1,2019-11-01,Van Cortlandt Park
46,230,green,87,2959.620000000001,2019,12,240,1,2019-12-01,Van Cortlandt Park
47,500,yellow,39,1455.59,2019,12,240,1,2019-12-01,Van Cortlandt Park
