,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,20,green,1588,24347.6,2020,1,24,1,2020-01-01,Bloomingdale
1,288,yellow,18880,290368.75000000006,2020,1,24,1,2020-01-01,Bloomingdale
2,22,green,1379,20163.410000000003,2020,2,24,1,2020-02-01,Bloomingdale
3,288,yellow,18737,284647.76,2020,2,24,1,2020-02-01,Bloomingdale
4,21,green,706,9505.22,2020,3,24,1,2020-03-01,Bloomingdale
5,288,yellow,10455,158613.57,2020,3,24,1,2020-03-01,Bloomingdale
6,19,green,119,1553.4,2020,4,24,1,2020-04-01,Bloomingdale
7,286,yellow,1658,21617.42,2020,4,24,1,2020-04-01,Bloomingdale
8,19,green,157,2101.87,2020,5,24,1,2020-05-01,Bloomingdale
9,288,yellow,2144,30675.67,2020,5,24,1,2020-05-01,Bloomingdale
10,19,green,235,3492.88,2020,6,24,1,2020-06-01,Bloomingdale
11,287,yellow,3252,48694.33,2020,6,24,1,2020-06-01,Bloomingdale
12,20,green,286,4725.889999999999,2020,7,24,1,2020-07-01,Bloomingdale
13,288,yellow,4148,65785.48000000001,2020,7,24,1,2020-07-01,Bloomingdale
14,21,green,271,4538.379999999999,2020,8,24,1,2020-08-01,Bloomingdale
15,287,yellow,4964,77225.47,2020,8,24,1,2020-08-01,Bloomingdale
16,19,green,335,5292.26,2020,9,24,1,2020-09-01,Bloomingdale
17,288,yellow,6428,99499.78,2020,9,24,1,2020-09-01,Bloomingdale
18,21,green,359,5593.88,2020,10,24,1,2020-10-01,Bloomingdale
19,287,yellow,7362,114389.86000000002,2020,10,24,1,2020-10-01,Bloomingdale
20,21,green,299,4633.34,2020,11,24,1,2020-11-01,Bloomingdale
21,287,yellow,6781,104478.9,2020,11,24,1,2020-11-01,Bloomingdale
22,20,green,294,4579.69,2020,12,24,1,2020-12-01,Bloomingdale
23,287,yellow,6595,100462.01,2020,12,24,1,2020-12-01,Bloomingdale
24,21,green,1841,22016.6,2019,1,24,1,2019-01-01,Bloomingdale
25,288,yellow,22589,652364.6499999999,2019,1,24,1,2019-01-01,Bloomingdale
26,22,green,1825,24188.480000000003,2019,2,24,1,2019-02-01,Bloomingdale
27,288,yellow,20598,310121.27,2019,2,24,1,2019-02-01,Bloomingdale
28,22,green,1842,23830.29,2019,3,24,1,2019-03-01,Bloomingdale
29,288,yellow,23426,355128.57000000007,2019,3,24,1,2019-03-01,Bloomingdale
30,23,green,1843,24783.22,2019,4,24,1,2019-04-01,Bloomingdale
31,288,yellow,21652,334213.72000000003,2019,4,24,1,2019-04-01,Bloomingdale
32,22,green,2061,29068.710000000003,2019,5,24,1,2019-05-01,Bloomingdale
33,288,yellow,23394,368236.26,2019,5,24,1,2019-05-01,Bloomingdale
34,22,green,2090,30368.300000000003,2019,6,24,1,2019-06-01,Bloomingdale
35,288,yellow,22288,346964.30000000005,2019,6,24,1,2019-06-01,Bloomingdale
36,23,green,1692,23773.270000000004,2019,7,24,1,2019-07-01,Bloomingdale
37,288,yellow,17773,281234.61000000004,2019,7,24,1,2019-07-01,Bloomingdale
38,23,green,1519,21417.730000000003,2019,8,24,1,2019-08-01,Bloomingdale
39,288,yellow,17089,266513.76000000007,2019,8,24,1,2019-08-01,Bloomingdale
40,22,green,1624,23438.660000000003,2019,9,24,1,2019-09-01,Bloomingdale
41,288,yellow,18866,301878.0,2019,9,24,1,2019-09-01,Bloomingdale
42,22,green,1871,28617.500000000004,2019,10,24,1,2019-10-01,Bloomingdale
43,288,yellow,21081,332863.54000000004,2019,10,24,1,2019-10-01,Bloomingdale
44,21,green,1740,24781.79,2019,11,24,1,2019-11-01,Bloomingdale
45,288,yellow,20525,318949.60000000003,2019,11,24,1,2019-11-01,Bloomingdale
46,22,green,1685,24261.990000000005,2019,12,24,1,2019-12-01,Bloomingdale
47,288,yellow,20433,320858.81000000006,2019,12,24,1,2019-12-01,Bloomingdale
