,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,210,green,2542,60424.11,2020,1,225,1,2020-01-01,Stuyvesant Heights
1,485,yellow,1122,31552.5,2020,1,225,1,2020-01-01,Stuyvesant Heights
2,213,green,1837,47269.61,2020,2,225,1,2020-02-01,Stuyvesant Heights
3,484,yellow,950,26903.35,2020,2,225,1,2020-02-01,Stuyvesant Heights
4,212,green,1087,20529.72,2020,3,225,1,2020-03-01,Stuyvesant Heights
5,484,yellow,693,14333.9,2020,3,225,1,2020-03-01,Stuyvesant Heights
6,198,green,224,4780.38,2020,4,225,1,2020-04-01,Stuyvesant Heights
7,475,yellow,186,4225.37,2020,4,225,1,2020-04-01,Stuyvesant Heights
8,210,green,373,7725.880000000001,2020,5,225,1,2020-05-01,Stuyvesant Heights
9,484,yellow,374,9668.84,2020,5,225,1,2020-05-01,Stuyvesant Heights
10,210,green,492,13669.34,2020,6,225,1,2020-06-01,Stuyvesant Heights
11,482,yellow,512,16221.64,2020,6,225,1,2020-06-01,Stuyvesant Heights
12,210,green,524,14959.97,2020,7,225,1,2020-07-01,Stuyvesant Heights
13,483,yellow,710,25787.910000000003,2020,7,225,1,2020-07-01,Stuyvesant Heights
14,212,green,632,18004.74,2020,8,225,1,2020-08-01,Stuyvesant Heights
15,483,yellow,900,30519.52,2020,8,225,1,2020-08-01,Stuyvesant Heights
16,207,green,607,16687.379999999997,2020,9,225,1,2020-09-01,Stuyvesant Heights
17,483,yellow,910,28349.39,2020,9,225,1,2020-09-01,Stuyvesant Heights
18,211,green,671,19285.7,2020,10,225,1,2020-10-01,Stuyvesant Heights
19,484,yellow,979,30688.44,2020,10,225,1,2020-10-01,Stuyvesant Heights
20,212,green,659,18167.25,2020,11,225,1,2020-11-01,Stuyvesant Heights
21,484,yellow,797,25066.0,2020,11,225,1,2020-11-01,Stuyvesant Heights
22,212,green,605,17047.75,2020,12,225,1,2020-12-01,Stuyvesant Heights
23,484,yellow,775,23950.03,2020,12,225,1,2020-12-01,Stuyvesant Heights
24,215,green,3456,68135.54000000001,2019,1,225,1,2019-01-01,Stuyvesant Heights
25,487,yellow,1255,29070.700000000004,2019,1,225,1,2019-01-01,Stuyvesant Heights
26,217,green,3265,65252.19000000001,2019,2,225,1,2019-02-01,Stuyvesant Heights
27,485,yellow,1308,30359.47,2019,2,225,1,2019-02-01,Stuyvesant Heights
28,219,green,3133,63055.05000000001,2019,3,225,1,2019-03-01,Stuyvesant Heights
29,485,yellow,1397,31338.150000000005,2019,3,225,1,2019-03-01,Stuyvesant Heights
30,217,green,1965,36674.25,2019,4,225,1,2019-04-01,Stuyvesant Heights
31,485,yellow,847,19087.60000000001,2019,4,225,1,2019-04-01,Stuyvesant Heights
32,217,green,1762,33730.48000000001,2019,5,225,1,2019-05-01,Stuyvesant Heights
33,485,yellow,826,17545.050000000003,2019,5,225,1,2019-05-01,Stuyvesant Heights
34,212,green,1734,33426.0,2019,6,225,1,2019-06-01,Stuyvesant Heights
35,485,yellow,873,18922.870000000003,2019,6,225,1,2019-06-01,Stuyvesant Heights
36,206,green,2094,45046.56,2019,7,225,1,2019-07-01,Stuyvesant Heights
37,485,yellow,984,25442.15,2019,7,225,1,2019-07-01,Stuyvesant Heights
38,211,green,2182,49741.01,2019,8,225,1,2019-08-01,Stuyvesant Heights
39,485,yellow,887,22326.88,2019,8,225,1,2019-08-01,Stuyvesant Heights
40,216,green,2081,49002.79000000001,2019,9,225,1,2019-09-01,Stuyvesant Heights
41,485,yellow,998,24384.620000000003,2019,9,225,1,2019-09-01,Stuyvesant Heights
42,215,green,2201,56002.95,2019,10,225,1,2019-10-01,Stuyvesant Heights
43,484,yellow,983,26356.050000000003,2019,10,225,1,2019-10-01,Stuyvesant Heights
44,216,green,2093,53508.96,2019,11,225,1,2019-11-01,Stuyvesant Heights
45,484,yellow,998,26496.490000000005,2019,11,225,1,2019-11-01,Stuyvesant Heights
46,215,green,2169,54971.03,2019,12,225,1,2019-12-01,Stuyvesant Heights
47,485,yellow,1147,31439.97,2019,12,225,1,2019-12-01,Stuyvesant Heights
