,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,157,green,868,21712.58,2020,1,169,1,2020-01-01,Mount Hope
1,430,yellow,377,12903.760000000002,2020,1,169,1,2020-01-01,Mount Hope
2,159,green,703,18064.78,2020,2,169,1,2020-02-01,Mount Hope
3,430,yellow,311,9667.88,2020,2,169,1,2020-02-01,Mount Hope
4,158,green,492,10130.87,2020,3,169,1,2020-03-01,Mount Hope
5,430,yellow,274,7183.860000000001,2020,3,169,1,2020-03-01,Mount Hope
6,150,green,170,5347.220000000001,2020,4,169,1,2020-04-01,Mount Hope
7,421,yellow,135,2960.04,2020,4,169,1,2020-04-01,Mount Hope
8,156,green,273,8207.81,2020,5,169,1,2020-05-01,Mount Hope
9,428,yellow,284,8802.39,2020,5,169,1,2020-05-01,Mount Hope
10,156,green,383,12050.28,2020,6,169,1,2020-06-01,Mount Hope
11,426,yellow,383,13257.58,2020,6,169,1,2020-06-01,Mount Hope
12,158,green,443,14457.600000000002,2020,7,169,1,2020-07-01,Mount Hope
13,429,yellow,506,18043.83,2020,7,169,1,2020-07-01,Mount Hope
14,160,green,411,14604.43,2020,8,169,1,2020-08-01,Mount Hope
15,428,yellow,459,16364.86,2020,8,169,1,2020-08-01,Mount Hope
16,156,green,436,12636.510000000002,2020,9,169,1,2020-09-01,Mount Hope
17,429,yellow,413,12560.79,2020,9,169,1,2020-09-01,Mount Hope
18,160,green,488,14051.77,2020,10,169,1,2020-10-01,Mount Hope
19,429,yellow,480,14520.7,2020,10,169,1,2020-10-01,Mount Hope
20,159,green,430,13969.02,2020,11,169,1,2020-11-01,Mount Hope
21,428,yellow,425,13042.21,2020,11,169,1,2020-11-01,Mount Hope
22,159,green,392,12012.53,2020,12,169,1,2020-12-01,Mount Hope
23,429,yellow,491,14761.0,2020,12,169,1,2020-12-01,Mount Hope
24,161,green,1220,25260.41,2019,1,169,1,2019-01-01,Mount Hope
25,431,yellow,364,8465.610000000002,2019,1,169,1,2019-01-01,Mount Hope
26,163,green,1235,26728.85000000001,2019,2,169,1,2019-02-01,Mount Hope
27,429,yellow,364,9572.840000000002,2019,2,169,1,2019-02-01,Mount Hope
28,164,green,1250,25391.76,2019,3,169,1,2019-03-01,Mount Hope
29,430,yellow,382,9468.080000000002,2019,3,169,1,2019-03-01,Mount Hope
30,163,green,921,17612.790000000005,2019,4,169,1,2019-04-01,Mount Hope
31,430,yellow,252,5968.160000000001,2019,4,169,1,2019-04-01,Mount Hope
32,161,green,829,16987.910000000003,2019,5,169,1,2019-05-01,Mount Hope
33,430,yellow,244,6662.220000000001,2019,5,169,1,2019-05-01,Mount Hope
34,157,green,702,13925.78,2019,6,169,1,2019-06-01,Mount Hope
35,430,yellow,279,6975.030000000001,2019,6,169,1,2019-06-01,Mount Hope
36,154,green,905,22158.550000000003,2019,7,169,1,2019-07-01,Mount Hope
37,430,yellow,347,11066.72,2019,7,169,1,2019-07-01,Mount Hope
38,158,green,862,21800.17,2019,8,169,1,2019-08-01,Mount Hope
39,430,yellow,323,10374.45,2019,8,169,1,2019-08-01,Mount Hope
40,162,green,821,20518.61,2019,9,169,1,2019-09-01,Mount Hope
41,430,yellow,286,8939.130000000001,2019,9,169,1,2019-09-01,Mount Hope
42,160,green,901,23831.95,2019,10,169,1,2019-10-01,Mount Hope
43,430,yellow,302,10566.69,2019,10,169,1,2019-10-01,Mount Hope
44,161,green,780,19756.54,2019,11,169,1,2019-11-01,Mount Hope
45,430,yellow,338,10947.92,2019,11,169,1,2019-11-01,Mount Hope
46,161,green,856,22338.090000000004,2019,12,169,1,2019-12-01,Mount Hope
47,430,yellow,356,11123.05,2019,12,169,1,2019-12-01,Mount Hope
