,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,55,green,555,12789.88,2020,1,60,1,2020-01-01,Crotona Park East
1,324,yellow,181,5807.610000000001,2020,1,60,1,2020-01-01,Crotona Park East
2,57,green,407,9655.3,2020,2,60,1,2020-02-01,Crotona Park East
3,324,yellow,149,4355.94,2020,2,60,1,2020-02-01,Crotona Park East
4,57,green,235,4296.5,2020,3,60,1,2020-03-01,Crotona Park East
5,324,yellow,118,2709.4300000000007,2020,3,60,1,2020-03-01,Crotona Park East
6,53,green,69,1904.58,2020,4,60,1,2020-04-01,Crotona Park East
7,318,yellow,66,1331.4100000000003,2020,4,60,1,2020-04-01,Crotona Park East
8,55,green,151,3179.8500000000004,2020,5,60,1,2020-05-01,Crotona Park East
9,323,yellow,105,2888.9700000000003,2020,5,60,1,2020-05-01,Crotona Park East
10,55,green,116,3122.99,2020,6,60,1,2020-06-01,Crotona Park East
11,323,yellow,130,4010.06,2020,6,60,1,2020-06-01,Crotona Park East
12,56,green,136,4386.88,2020,7,60,1,2020-07-01,Crotona Park East
13,324,yellow,205,8034.51,2020,7,60,1,2020-07-01,Crotona Park East
14,57,green,144,4209.01,2020,8,60,1,2020-08-01,Crotona Park East
15,323,yellow,201,7181.9,2020,8,60,1,2020-08-01,Crotona Park East
16,54,green,190,5089.54,2020,9,60,1,2020-09-01,Crotona Park East
17,324,yellow,201,6483.88,2020,9,60,1,2020-09-01,Crotona Park East
18,57,green,178,4076.0700000000006,2020,10,60,1,2020-10-01,Crotona Park East
19,323,yellow,206,6184.38,2020,10,60,1,2020-10-01,Crotona Park East
20,57,green,194,4901.7300000000005,2020,11,60,1,2020-11-01,Crotona Park East
21,323,yellow,180,5876.07,2020,11,60,1,2020-11-01,Crotona Park East
22,55,green,163,4536.400000000001,2020,12,60,1,2020-12-01,Crotona Park East
23,323,yellow,169,4950.73,2020,12,60,1,2020-12-01,Crotona Park East
24,57,green,655,12582.8,2019,1,60,1,2019-01-01,Crotona Park East
25,324,yellow,173,3934.340000000001,2019,1,60,1,2019-01-01,Crotona Park East
26,58,green,624,11940.39,2019,2,60,1,2019-02-01,Crotona Park East
27,324,yellow,175,4309.6500000000015,2019,2,60,1,2019-02-01,Crotona Park East
28,58,green,656,12531.740000000002,2019,3,60,1,2019-03-01,Crotona Park East
29,324,yellow,209,6300.240000000002,2019,3,60,1,2019-03-01,Crotona Park East
30,59,green,423,7000.1900000000005,2019,4,60,1,2019-04-01,Crotona Park East
31,324,yellow,175,4698.780000000002,2019,4,60,1,2019-04-01,Crotona Park East
32,58,green,357,5826.6,2019,5,60,1,2019-05-01,Crotona Park East
33,324,yellow,139,3859.800000000001,2019,5,60,1,2019-05-01,Crotona Park East
34,57,green,353,6062.610000000001,2019,6,60,1,2019-06-01,Crotona Park East
35,324,yellow,133,3090.66,2019,6,60,1,2019-06-01,Crotona Park East
36,57,green,435,8598.59,2019,7,60,1,2019-07-01,Crotona Park East
37,324,yellow,180,5723.360000000001,2019,7,60,1,2019-07-01,Crotona Park East
38,59,green,481,10837.73,2019,8,60,1,2019-08-01,Crotona Park East
39,324,yellow,160,4726.9,2019,8,60,1,2019-08-01,Crotona Park East
40,58,green,488,12024.11,2019,9,60,1,2019-09-01,Crotona Park East
41,324,yellow,147,4428.38,2019,9,60,1,2019-09-01,Crotona Park East
42,58,green,434,10398.4,2019,10,60,1,2019-10-01,Crotona Park East
43,324,yellow,148,4650.5,2019,10,60,1,2019-10-01,Crotona Park East
44,57,green,411,9796.080000000002,2019,11,60,1,2019-11-01,Crotona Park East
45,324,yellow,138,4331.780000000001,2019,11,60,1,2019-11-01,Crotona Park East
46,57,green,426,10577.72,2019,12,60,1,2019-12-01,Crotona Park East
47,324,yellow,142,4087.57,2019,12,60,1,2019-12-01,Crotona Park East
