,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,222,green,107,4359.55,2020,1,237,1,2020-01-01,Upper East Side South
1,497,yellow,292989,4237232.980000001,2020,1,237,1,2020-01-01,Upper East Side South
2,225,green,69,2975.0,2020,2,237,1,2020-02-01,Upper East Side South
3,496,yellow,276289,4029581.610000001,2020,2,237,1,2020-02-01,Upper East Side South
4,224,green,38,1134.6,2020,3,237,1,2020-03-01,Upper East Side South
5,496,yellow,131058,1924704.1,2020,3,237,1,2020-03-01,Upper East Side South
6,209,green,7,234.53,2020,4,237,1,2020-04-01,Upper East Side South
7,487,yellow,6995,96427.58000000002,2020,4,237,1,2020-04-01,Upper East Side South
8,222,green,5,129.57,2020,5,237,1,2020-05-01,Upper East Side South
9,496,yellow,10235,143130.90000000002,2020,5,237,1,2020-05-01,Upper East Side South
10,222,green,21,717.97,2020,6,237,1,2020-06-01,Upper East Side South
11,494,yellow,22462,319701.85000000003,2020,6,237,1,2020-06-01,Upper East Side South
12,222,green,33,1179.9,2020,7,237,1,2020-07-01,Upper East Side South
13,495,yellow,36245,517672.93000000005,2020,7,237,1,2020-07-01,Upper East Side South
14,224,green,19,658.4000000000001,2020,8,237,1,2020-08-01,Upper East Side South
15,495,yellow,46289,660261.8200000002,2020,8,237,1,2020-08-01,Upper East Side South
16,219,green,32,1073.86,2020,9,237,1,2020-09-01,Upper East Side South
17,495,yellow,68609,983842.96,2020,9,237,1,2020-09-01,Upper East Side South
18,223,green,43,1604.21,2020,10,237,1,2020-10-01,Upper East Side South
19,496,yellow,90422,1307166.7100000002,2020,10,237,1,2020-10-01,Upper East Side South
20,224,green,43,1633.36,2020,11,237,1,2020-11-01,Upper East Side South
21,496,yellow,82176,1180076.86,2020,11,237,1,2020-11-01,Upper East Side South
22,224,green,34,1323.2800000000002,2020,12,237,1,2020-12-01,Upper East Side South
23,496,yellow,81630,1164560.9500000002,2020,12,237,1,2020-12-01,Upper East Side South
24,227,green,12,138.46,2019,1,237,1,2019-01-01,Upper East Side South
25,499,yellow,332473,4414746.44,2019,1,237,1,2019-01-01,Upper East Side South
26,229,green,27,413.28,2019,2,237,1,2019-02-01,Upper East Side South
27,497,yellow,294584,4235592.260000001,2019,2,237,1,2019-02-01,Upper East Side South
28,231,green,16,269.79999999999995,2019,3,237,1,2019-03-01,Upper East Side South
29,497,yellow,311535,4572787.010000001,2019,3,237,1,2019-03-01,Upper East Side South
30,229,green,14,299.97,2019,4,237,1,2019-04-01,Upper East Side South
31,497,yellow,328973,4884313.640000001,2019,4,237,1,2019-04-01,Upper East Side South
32,229,green,16,259.78,2019,5,237,1,2019-05-01,Upper East Side South
33,497,yellow,347992,5236655.880000001,2019,5,237,1,2019-05-01,Upper East Side South
34,224,green,3,93.96,2019,6,237,1,2019-06-01,Upper East Side South
35,497,yellow,295057,4468390.44,2019,6,237,1,2019-06-01,Upper East Side South
36,218,green,6,219.8,2019,7,237,1,2019-07-01,Upper East Side South
37,497,yellow,244894,3643983.38,2019,7,237,1,2019-07-01,Upper East Side South
38,223,green,1,23.0,2019,8,237,1,2019-08-01,Upper East Side South
39,497,yellow,221510,3270898.690000001,2019,8,237,1,2019-08-01,Upper East Side South
40,228,green,67,2569.36,2019,9,237,1,2019-09-01,Upper East Side South
41,497,yellow,284765,4328530.070000001,2019,9,237,1,2019-09-01,Upper East Side South
42,227,green,152,5718.13,2019,10,237,1,2019-10-01,Upper East Side South
43,496,yellow,334833,5064432.96,2019,10,237,1,2019-10-01,Upper East Side South
44,228,green,136,5143.25,2019,11,237,1,2019-11-01,Upper East Side South
45,496,yellow,321113,4816281.830000001,2019,11,237,1,2019-11-01,Upper East Side South
46,227,green,107,4026.11,2019,12,237,1,2019-12-01,Upper East Side South
47,497,yellow,323953,4865983.470000002,2019,12,237,1,2019-12-01,Upper East Side South
