,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,218,green,72,2904.17,2020,1,233,1,2020-01-01,UN/Turtle Bay South
1,493,yellow,78866,1393910.0300000005,2020,1,233,1,2020-01-01,UN/Turtle Bay South
2,221,green,53,2110.43,2020,2,233,1,2020-02-01,UN/Turtle Bay South
3,492,yellow,78173,1386158.07,2020,2,233,1,2020-02-01,UN/Turtle Bay South
4,220,green,24,823.13,2020,3,233,1,2020-03-01,UN/Turtle Bay South
5,492,yellow,38358,666461.0000000001,2020,3,233,1,2020-03-01,UN/Turtle Bay South
6,205,green,3,92.03,2020,4,233,1,2020-04-01,UN/Turtle Bay South
7,483,yellow,3163,48311.82,2020,4,233,1,2020-04-01,UN/Turtle Bay South
8,218,green,3,76.31,2020,5,233,1,2020-05-01,UN/Turtle Bay South
9,492,yellow,4540,70424.51,2020,5,233,1,2020-05-01,UN/Turtle Bay South
10,218,green,8,259.77000000000004,2020,6,233,1,2020-06-01,UN/Turtle Bay South
11,490,yellow,8142,129752.57000000002,2020,6,233,1,2020-06-01,UN/Turtle Bay South
12,218,green,28,1136.73,2020,7,233,1,2020-07-01,UN/Turtle Bay South
13,491,yellow,11813,186713.08,2020,7,233,1,2020-07-01,UN/Turtle Bay South
14,220,green,21,719.5699999999998,2020,8,233,1,2020-08-01,UN/Turtle Bay South
15,491,yellow,14612,225786.72000000003,2020,8,233,1,2020-08-01,UN/Turtle Bay South
16,215,green,25,1000.55,2020,9,233,1,2020-09-01,UN/Turtle Bay South
17,491,yellow,18618,292172.43000000005,2020,9,233,1,2020-09-01,UN/Turtle Bay South
18,219,green,19,763.9300000000002,2020,10,233,1,2020-10-01,UN/Turtle Bay South
19,492,yellow,23001,360859.31000000006,2020,10,233,1,2020-10-01,UN/Turtle Bay South
20,220,green,24,958.0,2020,11,233,1,2020-11-01,UN/Turtle Bay South
21,492,yellow,19664,306349.08,2020,11,233,1,2020-11-01,UN/Turtle Bay South
22,220,green,17,639.4200000000001,2020,12,233,1,2020-12-01,UN/Turtle Bay South
23,492,yellow,18759,292216.41000000003,2020,12,233,1,2020-12-01,UN/Turtle Bay South
24,223,green,4,41.39,2019,1,233,1,2019-01-01,UN/Turtle Bay South
25,495,yellow,95123,1352409.9800000002,2019,1,233,1,2019-01-01,UN/Turtle Bay South
26,225,green,13,262.45,2019,2,233,1,2019-02-01,UN/Turtle Bay South
27,493,yellow,88562,1548891.5000000002,2019,2,233,1,2019-02-01,UN/Turtle Bay South
28,227,green,15,348.22,2019,3,233,1,2019-03-01,UN/Turtle Bay South
29,493,yellow,104688,2959406.7300000004,2019,3,233,1,2019-03-01,UN/Turtle Bay South
30,225,green,4,86.64999999999999,2019,4,233,1,2019-04-01,UN/Turtle Bay South
31,493,yellow,95174,1736804.7700000005,2019,4,233,1,2019-04-01,UN/Turtle Bay South
32,225,green,7,149.53,2019,5,233,1,2019-05-01,UN/Turtle Bay South
33,493,yellow,99135,1839204.7400000005,2019,5,233,1,2019-05-01,UN/Turtle Bay South
34,220,green,2,72.0,2019,6,233,1,2019-06-01,UN/Turtle Bay South
35,493,yellow,95342,1782623.9900000002,2019,6,233,1,2019-06-01,UN/Turtle Bay South
36,214,green,13,534.3199999999999,2019,7,233,1,2019-07-01,UN/Turtle Bay South
37,493,yellow,91654,1654168.6300000004,2019,7,233,1,2019-07-01,UN/Turtle Bay South
38,219,green,6,238.04,2019,8,233,1,2019-08-01,UN/Turtle Bay South
39,493,yellow,83322,1498294.4600000004,2019,8,233,1,2019-08-01,UN/Turtle Bay South
40,224,green,48,1909.41,2019,9,233,1,2019-09-01,UN/Turtle Bay South
41,493,yellow,82373,1571819.3200000003,2019,9,233,1,2019-09-01,UN/Turtle Bay South
42,223,green,101,3842.83,2019,10,233,1,2019-10-01,UN/Turtle Bay South
43,492,yellow,92212,1726504.97,2019,10,233,1,2019-10-01,UN/Turtle Bay South
44,224,green,81,3203.4,2019,11,233,1,2019-11-01,UN/Turtle Bay South
45,492,yellow,85093,1585252.5300000005,2019,11,233,1,2019-11-01,UN/Turtle Bay South
46,223,green,80,3150.11,2019,12,233,1,2019-12-01,UN/Turtle Bay South
47,493,yellow,86966,1624943.5400000005,2019,12,233,1,2019-12-01,UN/Turtle Bay South
