,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,131,green,79,2564.5699999999997,2020,1,143,1,2020-01-01,Lincoln Square West
1,404,yellow,77402,1191594.2200000002,2020,1,143,1,2020-01-01,Lincoln Square West
2,133,green,46,1640.85,2020,2,143,1,2020-02-01,Lincoln Square West
3,404,yellow,74092,1146531.91,2020,2,143,1,2020-02-01,Lincoln Square West
4,133,green,13,401.84,2020,3,143,1,2020-03-01,Lincoln Square West
5,404,yellow,39163,607011.02,2020,3,143,1,2020-03-01,Lincoln Square West
6,125,green,6,166.61,2020,4,143,1,2020-04-01,Lincoln Square West
7,395,yellow,3690,55269.65,2020,4,143,1,2020-04-01,Lincoln Square West
8,131,green,3,69.18,2020,5,143,1,2020-05-01,Lincoln Square West
9,402,yellow,4645,73362.12,2020,5,143,1,2020-05-01,Lincoln Square West
10,131,green,7,231.37,2020,6,143,1,2020-06-01,Lincoln Square West
11,400,yellow,7652,121621.01,2020,6,143,1,2020-06-01,Lincoln Square West
12,132,green,14,457.5,2020,7,143,1,2020-07-01,Lincoln Square West
13,403,yellow,10688,173015.55000000002,2020,7,143,1,2020-07-01,Lincoln Square West
14,134,green,13,445.4100000000001,2020,8,143,1,2020-08-01,Lincoln Square West
15,402,yellow,13416,215107.12,2020,8,143,1,2020-08-01,Lincoln Square West
16,131,green,16,551.62,2020,9,143,1,2020-09-01,Lincoln Square West
17,403,yellow,18913,294630.80000000005,2020,9,143,1,2020-09-01,Lincoln Square West
18,134,green,18,545.58,2020,10,143,1,2020-10-01,Lincoln Square West
19,403,yellow,24429,379475.25000000006,2020,10,143,1,2020-10-01,Lincoln Square West
20,133,green,20,671.92,2020,11,143,1,2020-11-01,Lincoln Square West
21,402,yellow,22691,348522.12000000005,2020,11,143,1,2020-11-01,Lincoln Square West
22,133,green,16,569.16,2020,12,143,1,2020-12-01,Lincoln Square West
23,403,yellow,21684,331689.9,2020,12,143,1,2020-12-01,Lincoln Square West
24,135,green,3,21.89,2019,1,143,1,2019-01-01,Lincoln Square West
25,405,yellow,95181,1180524.61,2019,1,143,1,2019-01-01,Lincoln Square West
26,137,green,12,163.72,2019,2,143,1,2019-02-01,Lincoln Square West
27,403,yellow,83738,1299106.7300000004,2019,2,143,1,2019-02-01,Lincoln Square West
28,138,green,2,32.6,2019,3,143,1,2019-03-01,Lincoln Square West
29,404,yellow,90035,1417065.02,2019,3,143,1,2019-03-01,Lincoln Square West
30,137,green,5,184.68,2019,4,143,1,2019-04-01,Lincoln Square West
31,404,yellow,86498,1379389.77,2019,4,143,1,2019-04-01,Lincoln Square West
32,135,green,3,39.99,2019,5,143,1,2019-05-01,Lincoln Square West
33,404,yellow,90417,1461417.7100000004,2019,5,143,1,2019-05-01,Lincoln Square West
34,133,green,1,21.3,2019,6,143,1,2019-06-01,Lincoln Square West
35,404,yellow,79827,1287564.2400000002,2019,6,143,1,2019-06-01,Lincoln Square West
36,132,green,3,77.72,2019,7,143,1,2019-07-01,Lincoln Square West
37,404,yellow,65620,1049570.24,2019,7,143,1,2019-07-01,Lincoln Square West
38,133,green,4,210.69,2019,8,143,1,2019-08-01,Lincoln Square West
39,404,yellow,64637,1025966.26,2019,8,143,1,2019-08-01,Lincoln Square West
40,136,green,46,1572.84,2019,9,143,1,2019-09-01,Lincoln Square West
41,404,yellow,76322,1220252.0,2019,9,143,1,2019-09-01,Lincoln Square West
42,134,green,80,2497.32,2019,10,143,1,2019-10-01,Lincoln Square West
43,404,yellow,86543,1379344.2400000002,2019,10,143,1,2019-10-01,Lincoln Square West
44,135,green,82,2786.01,2019,11,143,1,2019-11-01,Lincoln Square West
45,404,yellow,82814,1321596.49,2019,11,143,1,2019-11-01,Lincoln Square West
46,135,green,80,2823.38,2019,12,143,1,2019-12-01,Lincoln Square West
47,404,yellow,81012,1291306.87,2019,12,143,1,2019-12-01,Lincoln Square West
