,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,128,green,454,16687.26,2020,1,140,1,2020-01-01,Lenox Hill East
1,401,yellow,125861,2093116.91,2020,1,140,1,2020-01-01,Lenox Hill East
2,130,green,301,12144.59,2020,2,140,1,2020-02-01,Lenox Hill East
3,401,yellow,118342,1990208.2400000005,2020,2,140,1,2020-02-01,Lenox Hill East
4,130,green,121,4312.849999999999,2020,3,140,1,2020-03-01,Lenox Hill East
5,401,yellow,63817,1078575.13,2020,3,140,1,2020-03-01,Lenox Hill East
6,122,green,16,549.38,2020,4,140,1,2020-04-01,Lenox Hill East
7,392,yellow,10675,182791.83,2020,4,140,1,2020-04-01,Lenox Hill East
8,128,green,47,1427.27,2020,5,140,1,2020-05-01,Lenox Hill East
9,399,yellow,12337,213164.3,2020,5,140,1,2020-05-01,Lenox Hill East
10,128,green,73,2628.05,2020,6,140,1,2020-06-01,Lenox Hill East
11,397,yellow,19603,347723.24000000005,2020,6,140,1,2020-06-01,Lenox Hill East
12,129,green,148,5828.040000000001,2020,7,140,1,2020-07-01,Lenox Hill East
13,400,yellow,26114,462247.66,2020,7,140,1,2020-07-01,Lenox Hill East
14,131,green,130,5075.07,2020,8,140,1,2020-08-01,Lenox Hill East
15,399,yellow,30454,531209.5700000001,2020,8,140,1,2020-08-01,Lenox Hill East
16,128,green,139,5610.04,2020,9,140,1,2020-09-01,Lenox Hill East
17,400,yellow,38828,676018.8500000001,2020,9,140,1,2020-09-01,Lenox Hill East
18,131,green,163,6322.91,2020,10,140,1,2020-10-01,Lenox Hill East
19,400,yellow,47177,818571.8099999999,2020,10,140,1,2020-10-01,Lenox Hill East
20,130,green,136,5476.530000000001,2020,11,140,1,2020-11-01,Lenox Hill East
21,399,yellow,42722,732919.2200000001,2020,11,140,1,2020-11-01,Lenox Hill East
22,130,green,111,4596.9,2020,12,140,1,2020-12-01,Lenox Hill East
23,400,yellow,42638,726991.22,2020,12,140,1,2020-12-01,Lenox Hill East
24,132,green,16,313.28,2019,1,140,1,2019-01-01,Lenox Hill East
25,402,yellow,150555,2018263.34,2019,1,140,1,2019-01-01,Lenox Hill East
26,134,green,15,228.68,2019,2,140,1,2019-02-01,Lenox Hill East
27,400,yellow,128992,2118967.1300000004,2019,2,140,1,2019-02-01,Lenox Hill East
28,135,green,8,136.63,2019,3,140,1,2019-03-01,Lenox Hill East
29,401,yellow,136245,2277858.5500000003,2019,3,140,1,2019-03-01,Lenox Hill East
30,134,green,7,202.49,2019,4,140,1,2019-04-01,Lenox Hill East
31,401,yellow,130121,2186263.840000001,2019,4,140,1,2019-04-01,Lenox Hill East
32,132,green,26,802.7699999999999,2019,5,140,1,2019-05-01,Lenox Hill East
33,401,yellow,134867,2292031.7100000004,2019,5,140,1,2019-05-01,Lenox Hill East
34,130,green,9,370.3,2019,6,140,1,2019-06-01,Lenox Hill East
35,401,yellow,118458,2036740.0000000005,2019,6,140,1,2019-06-01,Lenox Hill East
36,129,green,12,451.56,2019,7,140,1,2019-07-01,Lenox Hill East
37,401,yellow,111117,1889718.4,2019,7,140,1,2019-07-01,Lenox Hill East
38,131,green,15,668.96,2019,8,140,1,2019-08-01,Lenox Hill East
39,401,yellow,104558,1778861.2700000005,2019,8,140,1,2019-08-01,Lenox Hill East
40,133,green,211,7983.650000000001,2019,9,140,1,2019-09-01,Lenox Hill East
41,401,yellow,113785,1960519.4700000004,2019,9,140,1,2019-09-01,Lenox Hill East
42,131,green,489,19152.87,2019,10,140,1,2019-10-01,Lenox Hill East
43,401,yellow,128096,2195130.8700000006,2019,10,140,1,2019-10-01,Lenox Hill East
44,132,green,455,18108.12,2019,11,140,1,2019-11-01,Lenox Hill East
45,401,yellow,122122,2087861.2300000004,2019,11,140,1,2019-11-01,Lenox Hill East
46,132,green,410,15892.480000000003,2019,12,140,1,2019-12-01,Lenox Hill East
47,401,yellow,122098,2078229.6400000004,2019,12,140,1,2019-12-01,Lenox Hill East
