,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,247,green,60,1981.4600000000005,2020,1,262,1,2020-01-01,Yorkville East
1,522,yellow,85805,1372338.9800000002,2020,1,262,1,2020-01-01,Yorkville East
2,250,green,49,1539.62,2020,2,262,1,2020-02-01,Yorkville East
3,520,yellow,83179,1343974.28,2020,2,262,1,2020-02-01,Yorkville East
4,248,green,21,470.15,2020,3,262,1,2020-03-01,Yorkville East
5,521,yellow,43092,688824.37,2020,3,262,1,2020-03-01,Yorkville East
6,231,green,5,142.89,2020,4,262,1,2020-04-01,Yorkville East
7,511,yellow,4312,62383.89,2020,4,262,1,2020-04-01,Yorkville East
8,246,green,9,191.28,2020,5,262,1,2020-05-01,Yorkville East
9,521,yellow,5570,83714.57,2020,5,262,1,2020-05-01,Yorkville East
10,246,green,15,494.1300000000001,2020,6,262,1,2020-06-01,Yorkville East
11,518,yellow,9399,145331.79,2020,6,262,1,2020-06-01,Yorkville East
12,246,green,25,717.5999999999999,2020,7,262,1,2020-07-01,Yorkville East
13,520,yellow,12410,192753.64,2020,7,262,1,2020-07-01,Yorkville East
14,247,green,30,884.3600000000001,2020,8,262,1,2020-08-01,Yorkville East
15,520,yellow,15697,244530.72000000003,2020,8,262,1,2020-08-01,Yorkville East
16,242,green,33,1068.72,2020,9,262,1,2020-09-01,Yorkville East
17,520,yellow,22177,344884.76,2020,9,262,1,2020-09-01,Yorkville East
18,247,green,20,729.95,2020,10,262,1,2020-10-01,Yorkville East
19,521,yellow,28921,448002.08,2020,10,262,1,2020-10-01,Yorkville East
20,248,green,20,561.8299999999999,2020,11,262,1,2020-11-01,Yorkville East
21,521,yellow,25802,397878.03,2020,11,262,1,2020-11-01,Yorkville East
22,249,green,21,782.47,2020,12,262,1,2020-12-01,Yorkville East
23,521,yellow,25618,390581.4,2020,12,262,1,2020-12-01,Yorkville East
24,252,green,14,317.64,2019,1,262,1,2019-01-01,Yorkville East
25,524,yellow,98820,1243369.14,2019,1,262,1,2019-01-01,Yorkville East
26,254,green,12,315.64,2019,2,262,1,2019-02-01,Yorkville East
27,522,yellow,85951,1345922.2200000004,2019,2,262,1,2019-02-01,Yorkville East
28,256,green,14,397.53,2019,3,262,1,2019-03-01,Yorkville East
29,522,yellow,90104,1445314.4100000004,2019,3,262,1,2019-03-01,Yorkville East
30,254,green,20,340.47,2019,4,262,1,2019-04-01,Yorkville East
31,522,yellow,90420,1464373.9700000002,2019,4,262,1,2019-04-01,Yorkville East
32,254,green,12,313.85,2019,5,262,1,2019-05-01,Yorkville East
33,522,yellow,92441,1524581.8099999998,2019,5,262,1,2019-05-01,Yorkville East
34,248,green,15,640.25,2019,6,262,1,2019-06-01,Yorkville East
35,522,yellow,82137,1366345.7800000005,2019,6,262,1,2019-06-01,Yorkville East
36,241,green,14,517.79,2019,7,262,1,2019-07-01,Yorkville East
37,522,yellow,67591,1120951.7600000002,2019,7,262,1,2019-07-01,Yorkville East
38,248,green,22,667.0899999999999,2019,8,262,1,2019-08-01,Yorkville East
39,522,yellow,65077,1083347.3,2019,8,262,1,2019-08-01,Yorkville East
40,253,green,55,1846.3199999999997,2019,9,262,1,2019-09-01,Yorkville East
41,522,yellow,79272,1313420.8000000005,2019,9,262,1,2019-09-01,Yorkville East
42,252,green,77,2328.55,2019,10,262,1,2019-10-01,Yorkville East
43,521,yellow,91756,1502170.28,2019,10,262,1,2019-10-01,Yorkville East
44,253,green,80,2599.2000000000003,2019,11,262,1,2019-11-01,Yorkville East
45,521,yellow,86708,1423959.09,2019,11,262,1,2019-11-01,Yorkville East
46,252,green,59,1881.96,2019,12,262,1,2019-12-01,Yorkville East
47,522,yellow,87130,1432389.79,2019,12,262,1,2019-12-01,Yorkville East
