,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,12,green,463,15106.8,2020,1,16,1,2020-01-01,Bayside
1,280,yellow,219,7437.5,2020,1,16,1,2020-01-01,Bayside
2,14,green,311,10880.35,2020,2,16,1,2020-02-01,Bayside
3,280,yellow,146,4875.780000000001,2020,2,16,1,2020-02-01,Bayside
4,13,green,207,5317.31,2020,3,16,1,2020-03-01,Bayside
5,280,yellow,99,2565.53,2020,3,16,1,2020-03-01,Bayside
6,11,green,24,603.54,2020,4,16,1,2020-04-01,Bayside
7,278,yellow,39,1840.21,2020,4,16,1,2020-04-01,Bayside
8,11,green,32,864.1400000000001,2020,5,16,1,2020-05-01,Bayside
9,280,yellow,57,2296.3,2020,5,16,1,2020-05-01,Bayside
10,11,green,54,1817.4,2020,6,16,1,2020-06-01,Bayside
11,279,yellow,65,2628.31,2020,6,16,1,2020-06-01,Bayside
12,12,green,72,2742.52,2020,7,16,1,2020-07-01,Bayside
13,280,yellow,97,3765.78,2020,7,16,1,2020-07-01,Bayside
14,13,green,80,2834.9700000000003,2020,8,16,1,2020-08-01,Bayside
15,279,yellow,154,6061.99,2020,8,16,1,2020-08-01,Bayside
16,11,green,85,2739.14,2020,9,16,1,2020-09-01,Bayside
17,280,yellow,136,4610.88,2020,9,16,1,2020-09-01,Bayside
18,13,green,102,4351.22,2020,10,16,1,2020-10-01,Bayside
19,279,yellow,153,6272.66,2020,10,16,1,2020-10-01,Bayside
20,13,green,74,2848.58,2020,11,16,1,2020-11-01,Bayside
21,279,yellow,148,6053.960000000001,2020,11,16,1,2020-11-01,Bayside
22,12,green,69,2765.7000000000003,2020,12,16,1,2020-12-01,Bayside
23,279,yellow,134,5533.83,2020,12,16,1,2020-12-01,Bayside
24,13,green,392,10101.43,2019,1,16,1,2019-01-01,Bayside
25,280,yellow,238,7356.6500000000015,2019,1,16,1,2019-01-01,Bayside
26,14,green,384,10392.04,2019,2,16,1,2019-02-01,Bayside
27,280,yellow,259,7431.530000000001,2019,2,16,1,2019-02-01,Bayside
28,14,green,402,10394.160000000002,2019,3,16,1,2019-03-01,Bayside
29,280,yellow,257,7941.35,2019,3,16,1,2019-03-01,Bayside
30,15,green,219,5194.750000000002,2019,4,16,1,2019-04-01,Bayside
31,280,yellow,183,5035.000000000002,2019,4,16,1,2019-04-01,Bayside
32,14,green,229,6023.220000000002,2019,5,16,1,2019-05-01,Bayside
33,280,yellow,179,5567.02,2019,5,16,1,2019-05-01,Bayside
34,14,green,205,5612.980000000001,2019,6,16,1,2019-06-01,Bayside
35,280,yellow,150,4679.16,2019,6,16,1,2019-06-01,Bayside
36,15,green,390,13097.4,2019,7,16,1,2019-07-01,Bayside
37,280,yellow,203,6556.17,2019,7,16,1,2019-07-01,Bayside
38,15,green,356,11758.160000000002,2019,8,16,1,2019-08-01,Bayside
39,280,yellow,197,6009.460000000001,2019,8,16,1,2019-08-01,Bayside
40,14,green,334,10787.27,2019,9,16,1,2019-09-01,Bayside
41,280,yellow,183,5564.200000000001,2019,9,16,1,2019-09-01,Bayside
42,14,green,362,12664.14,2019,10,16,1,2019-10-01,Bayside
43,280,yellow,205,6896.530000000001,2019,10,16,1,2019-10-01,Bayside
44,13,green,345,11268.05,2019,11,16,1,2019-11-01,Bayside
45,280,yellow,227,7627.55,2019,11,16,1,2019-11-01,Bayside
46,14,green,394,13198.22,2019,12,16,1,2019-12-01,Bayside
47,280,yellow,201,6417.960000000001,2019,12,16,1,2019-12-01,Bayside
