zip_code,hospitalization_rate
10001,39.8
10002,159.3
10003,33.3
10004,0.0
10005,22.8
10006,0.0
10007,71.5
10009,101.5
10010,51.0
10011,50.3
10012,43.2
10013,79.8
10014,29.7
10016,45.2
10017,25.6
10018,25.4
10019,55.1
10021,45.8
10022,32.4
10023,29.1
10024,25.7
10025,65.5
10026,90.5
10027,82.0
10028,25.3
10029,134.2
10030,88.8
10031,115.2
10032,103.1
10033,90.6
10034,68.7
10035,136.2
10036,84.4
10037,67.3
10038,56.9
10039,80.9
10040,95.5
10044,42.8
10065,32.3
10069,31.8
10075,21.7
10128,23.9
10280,10.7
10282,0.0
10301,120.8
10302,108.2
10303,116.9
10304,155.2
10305,128.3
10306,117.4
10307,114.0
10308,93.9
10309,88.0
10310,89.6
10312,91.7
10314,103.8
10451,141.4
10452,114.3
10453,139.8
10454,132.2
10455,171.9
10456,137.3
10457,138.4
10458,117.2
10459,117.0
10460,156.3
10461,93.7
10462,131.4
10463,88.6
10464,23.3
10465,111.3
10466,119.2
10467,104.8
10468,96.4
10469,100.5
10470,86.7
10471,61.2
10472,110.3
10473,110.0
10474,100.2
10475,100.6
11004,73.9
11101,73.3
11102,86.5
11103,80.1
11104,94.4
11105,69.1
11106,88.2
11109,86.8
11201,43.3
11203,105.0
11204,84.3
11205,86.0
11206,85.3
11207,131.4
11208,126.6
11209,81.5
11210,79.2
11211,60.0
11212,198.7
11213,117.6
11214,142.2
11215,34.5
11216,62.0
11217,36.7
11218,98.7
11219,104.3
11220,127.9
11221,100.7
11222,49.8
11223,117.8
11224,218.3
11225,71.3
11226,91.4
11228,93.4
11229,103.0
11230,114.7
11231,50.8
11232,99.7
11233,100.9
11234,84.0
11235,222.5
11236,105.0
11237,66.7
11238,61.6
11239,345.6
11354,191.0
11355,213.1
11356,114.0
11357,131.7
11358,102.7
11360,94.5
11361,87.2
11362,127.1
11363,44.5
11364,92.5
11365,116.4
11366,56.3
11367,110.6
11368,102.4
11369,121.9
11370,119.6
11372,97.2
11373,108.0
11374,118.4
11375,92.6
11377,115.4
11378,107.9
11379,177.4
11385,106.2
11411,102.9
11412,84.0
11413,108.8
11414,105.8
11415,159.0
11416,125.0
11417,80.5
11418,117.1
11419,146.4
11420,131.7
11421,127.3
11422,67.9
11423,99.6
11426,84.3
11427,89.1
11428,166.8
11429,86.3
11432,108.6
11433,112.3
11434,103.4
11435,113.0
11436,129.7
11691,125.6
11692,80.8
11693,15.8
11694,62.6
11697,147.4
