,date,zip_code,hospitalization_rate
164,3/2020,11427,220.6
165,3/2020,11428,344.4
166,3/2020,11429,320.0
167,3/2020,11432,279.8
168,3/2020,11433,287.5
169,3/2020,11434,308.6
170,3/2020,11435,255.1
171,3/2020,11436,259.4
172,3/2020,11691,341.0
173,3/2020,11692,337.6
174,3/2020,11693,284.1
175,3/2020,11694,197.3
176,3/2020,11697,117.9
177,4/2020,10001,184.7
178,4/2020,10002,284.1
179,4/2020,10003,107.5
180,4/2020,10004,33.6
181,4/2020,10005,34.3
182,4/2020,10006,88.7
183,4/2020,10007,28.6
184,4/2020,10009,196.0
185,4/2020,10010,134.9
186,4/2020,10011,116.6
187,4/2020,10012,64.8
188,4/2020,10013,111.0
189,4/2020,10014,105.5
190,4/2020,10016,112.0
191,4/2020,10017,76.9
192,4/2020,10018,59.4
193,4/2020,10019,128.7
194,4/2020,10021,128.6
195,4/2020,10022,116.5
196,4/2020,10023,111.7
197,4/2020,10024,138.7
198,4/2020,10025,224.8
199,4/2020,10026,300.0
200,4/2020,10027,290.2
201,4/2020,10028,101.3
202,4/2020,10029,442.3
203,4/2020,10030,283.6
204,4/2020,10031,369.3
205,4/2020,10032,490.1
206,4/2020,10033,405.0
207,4/2020,10034,333.8
208,4/2020,10035,627.1
209,4/2020,10036,198.2
210,4/2020,10037,303.0
211,4/2020,10038,153.1
212,4/2020,10039,320.1
213,4/2020,10040,423.1
214,4/2020,10044,265.6
215,4/2020,10065,175.6
216,4/2020,10069,47.7
217,4/2020,10075,156.2
218,4/2020,10128,100.8
219,4/2020,10280,42.8
220,4/2020,10282,179.5
221,4/2020,10301,455.0
222,4/2020,10302,335.4
223,4/2020,10303,362.1
224,4/2020,10304,377.2
225,4/2020,10305,345.3
226,4/2020,10306,250.0
227,4/2020,10307,127.4
228,4/2020,10308,107.3
229,4/2020,10309,151.8
230,4/2020,10310,247.4
231,4/2020,10312,131.0
232,4/2020,10314,235.6
233,4/2020,10451,405.3
234,4/2020,10452,388.2
235,4/2020,10453,400.4
236,4/2020,10454,446.7
237,4/2020,10455,405.8
238,4/2020,10456,458.2
239,4/2020,10457,428.6
240,4/2020,10458,316.7
241,4/2020,10459,463.7
242,4/2020,10460,382.2
243,4/2020,10461,364.6
244,4/2020,10462,377.1
245,4/2020,10463,394.4
246,4/2020,10464,163.3
247,4/2020,10465,243.5
