zip_code,hospitalization_rate
10001,90.5
10002,163.3
10003,50.0
10004,67.3
10005,11.4
10006,0.0
10007,0.0
10009,101.5
10010,78.0
10011,38.2
10012,69.1
10013,72.9
10014,26.4
10016,68.7
10017,38.4
10018,33.9
10019,91.9
10021,54.5
10022,74.4
10023,61.5
10024,58.2
10025,97.1
10026,111.2
10027,135.7
10028,52.8
10029,170.0
10030,112.7
10031,96.6
10032,180.8
10033,135.0
10034,137.3
10035,96.5
10036,91.8
10037,182.8
10038,166.2
10039,125.1
10040,125.1
10044,60.0
10065,32.3
10069,63.6
10075,78.1
10128,64.9
10280,64.2
10282,35.9
10301,133.7
10302,173.1
10303,128.2
10304,183.8
10305,163.3
10306,159.1
10307,181.1
10308,117.4
10309,154.8
10310,128.0
10312,152.3
10314,163.2
10451,160.4
10452,160.9
10453,144.9
10454,187.7
10455,200.5
10456,148.1
10457,173.6
10458,142.6
10459,183.8
10460,181.7
10461,187.4
10462,152.7
10463,148.6
10464,70.0
10465,167.0
10466,138.8
10467,203.8
10468,156.8
10469,141.8
10470,153.4
10471,131.8
10472,179.5
10473,201.3
10474,116.9
10475,170.8
11004,137.2
11101,73.3
11102,133.1
11103,91.6
11104,62.9
11105,105.0
11106,114.9
11109,34.7
11201,44.9
11203,100.9
11204,150.5
11205,52.9
11206,113.0
11207,137.0
11208,168.5
11209,105.2
11210,97.4
11211,63.0
11212,170.3
11213,109.9
11214,163.8
11215,24.4
11216,69.3
11217,36.7
11218,128.4
11219,107.7
11220,159.6
11221,113.0
11222,85.8
11223,152.2
11224,330.7
11225,90.4
11226,143.8
11228,117.8
11229,193.9
11230,167.6
11231,56.2
11232,81.2
11233,109.0
11234,117.0
11235,329.9
11236,107.1
11237,112.5
11238,63.5
11239,284.1
11354,202.2
11355,234.6
11356,144.6
11357,108.5
11358,144.3
11360,215.3
11361,132.7
11362,121.5
11363,29.7
11364,117.7
11365,127.8
11366,105.6
11367,132.8
11368,119.6
11369,121.9
11370,147.9
11372,154.9
11373,156.0
11374,222.3
11375,124.9
11377,136.8
11378,91.3
11379,136.5
11385,118.7
11411,131.0
11412,115.5
11413,104.2
11414,176.3
11415,106.0
11416,189.5
11417,170.7
11418,106.4
11419,233.0
11420,177.7
11421,159.8
11422,166.7
11423,144.5
11426,133.9
11427,161.2
11428,134.5
11429,133.0
11432,237.0
11433,175.2
11434,131.8
11435,162.6
11436,149.7
11691,137.6
11692,118.9
11693,118.4
11694,72.2
11697,88.4
