zip_code,hospitalization_rate
10001,65.2
10002,134.1
10003,31.5
10004,67.3
10005,11.4
10006,0.0
10007,14.3
10009,103.2
10010,36.0
10011,46.2
10012,51.8
10013,100.6
10014,23.1
10016,39.3
10017,44.8
10018,25.4
10019,64.3
10021,41.4
10022,48.5
10023,64.7
10024,63.3
10025,93.9
10026,116.4
10027,93.1
10028,40.1
10029,127.8
10030,143.5
10031,133.8
10032,128.5
10033,104.2
10034,123.1
10035,170.3
10036,62.4
10037,81.8
10038,83.1
10039,121.4
10040,120.5
10044,51.4
10065,25.1
10069,31.8
10075,78.1
10128,46.1
10280,21.4
10282,0.0
10301,77.1
10302,135.2
10303,90.5
10304,69.2
10305,105.0
10306,89.0
10307,40.2
10308,100.6
10309,69.8
10310,89.6
10312,60.6
10314,73.5
10451,175.2
10452,134.3
10453,147.4
10454,148.0
10455,186.2
10456,136.3
10457,180.4
10458,135.4
10459,142.0
10460,158.0
10461,140.5
10462,179.2
10463,104.3
10464,46.7
10465,136.8
10466,134.6
10467,144.0
10468,170.9
10469,99.2
10470,120.1
10471,89.4
10472,167.7
10473,135.3
10474,183.7
10475,168.5
11004,68.6
11101,108.6
11102,119.8
11103,85.9
11104,74.7
11105,71.8
11106,98.9
11109,17.4
11201,33.7
11203,85.9
11204,110.3
11205,114.7
11206,145.3
11207,106.7
11208,130.8
11209,99.2
11210,117.2
11211,66.9
11212,137.9
11213,103.7
11214,134.7
11215,31.6
11216,78.4
11217,78.3
11218,97.3
11219,95.5
11220,84.6
11221,87.2
11222,55.4
11223,128.8
11224,313.4
11225,88.7
11226,115.0
11228,108.9
11229,158.0
11230,136.1
11231,48.2
11232,73.8
11233,96.9
11234,96.8
11235,249.4
11236,104.0
11237,104.2
11238,71.0
11239,230.4
11354,168.8
11355,215.6
11356,83.3
11357,80.1
11358,105.5
11360,115.5
11361,83.4
11362,66.3
11363,89.1
11364,70.1
11365,86.7
11366,77.4
11367,125.4
11368,94.2
11369,139.8
11370,94.4
11372,72.5
11373,129.8
11374,125.6
11375,92.6
11377,128.5
11378,91.3
11379,95.5
11385,100.4
11411,98.2
11412,70.9
11413,53.2
11414,98.7
11415,79.5
11416,147.8
11417,132.1
11418,101.1
11419,154.6
11420,127.5
11421,109.9
11422,129.7
11423,86.7
11426,69.4
11427,110.3
11428,107.6
11429,97.1
11432,131.7
11433,128.7
11434,101.9
11435,114.7
11436,134.7
11691,140.6
11692,66.6
11693,63.1
11694,52.9
11697,29.5
