zip_code,hospitalization_rate
10001,184.7
10002,284.1
10003,107.5
10004,33.6
10005,34.3
10006,88.7
10007,28.6
10009,196.0
10010,134.9
10011,116.6
10012,64.8
10013,111.0
10014,105.5
10016,112.0
10017,76.9
10018,59.4
10019,128.7
10021,128.6
10022,116.5
10023,111.7
10024,138.7
10025,224.8
10026,300.0
10027,290.2
10028,101.3
10029,442.3
10030,283.6
10031,369.3
10032,490.1
10033,405.0
10034,333.8
10035,627.1
10036,198.2
10037,303.0
10038,153.1
10039,320.1
10040,423.1
10044,265.6
10065,175.6
10069,47.7
10075,156.2
10128,100.8
10280,42.8
10282,179.5
10301,455.0
10302,335.4
10303,362.1
10304,377.2
10305,345.3
10306,250.0
10307,127.4
10308,107.3
10309,151.8
10310,247.4
10312,131.0
10314,235.6
10451,405.3
10452,388.2
10453,400.4
10454,446.7
10455,405.8
10456,458.2
10457,428.6
10458,316.7
10459,463.7
10460,382.2
10461,364.6
10462,377.1
10463,394.4
10464,163.3
10465,243.5
10466,476.8
10467,536.0
10468,444.7
10469,582.5
10470,166.8
10471,522.6
10472,476.6
10473,436.5
10474,334.0
10475,585.0
11004,374.7
11101,211.8
11102,419.4
11103,274.8
11104,235.9
11105,210.0
11106,291.2
11109,86.8
11201,173.4
11203,437.8
11204,219.2
11205,220.6
11206,260.6
11207,369.5
11208,384.0
11209,219.2
11210,331.9
11211,202.6
11212,389.4
11213,292.6
11214,266.1
11215,84.7
11216,211.6
11217,264.2
11218,291.9
11219,278.6
11220,270.6
11221,251.7
11222,127.3
11223,191.4
11224,533.8
11225,319.9
11226,363.6
11228,204.5
11229,185.6
11230,326.2
11231,131.1
11232,288.0
11233,283.9
11234,270.1
11235,355.5
11236,368.6
11237,283.3
11238,282.0
11239,829.3
11354,558.2
11355,319.6
11356,359.4
11357,333.2
11358,183.2
11360,210.0
11361,246.5
11362,165.7
11363,222.7
11364,165.3
11365,285.3
11366,267.5
11367,250.8
11368,603.4
11369,761.3
11370,380.8
11372,515.8
11373,488.8
11374,294.7
11375,312.9
11377,399.8
11378,282.2
11379,365.8
11385,224.9
11411,467.8
11412,414.7
11413,409.7
11414,246.8
11415,376.2
11416,291.8
11417,331.8
11418,364.5
11419,346.4
11420,347.0
11421,377.0
11422,370.5
11423,433.5
11426,252.9
11427,330.9
11428,479.0
11429,460.3
11432,431.2
11433,449.0
11434,404.4
11435,412.6
11436,314.3
11691,750.9
11692,542.1
11693,213.1
11694,582.3
11697,206.3
