PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color
217,4530.2,1875.77,Brooklyn,South Williamsburg,Boro Zone,#b8d6be,-36.1727908025248,-66.74072314108201,#90b2b3
218,18885.82,7933.24,Queens,Springfield Gardens North,Boro Zone,#5a9178,17.678338654643245,-59.109244546432,#b8d6be
219,11929.99,4687.77,Queens,Springfield Gardens South,Boro Zone,#90b2b3,-75.07766562137616,-54.02727312846615,#567994
220,9266.69,8117.33,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,#5a9178,-7.0001605748579925,-63.37346581579728,#90b2b3
221,593.5,333.63,Staten Island,Stapleton,Boro Zone,#e8e8e8,-54.19252261430644,-62.43582237434696,#90b2b3
222,14754.47,7774.96,Brooklyn,Starrett City,Boro Zone,#5a9178,24.48151229167264,-64.06706529706408,#b8d6be
223,15153.41,5101.6,Queens,Steinway,Boro Zone,#90b2b3,-87.02692980006448,-92.26257146345476,#2a5a5b
224,35999.24,651.03,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,#6c83b5,-82.82421481864517,131.74925245621526,#6c83b5
225,30519.52,18004.74,Brooklyn,Stuyvesant Heights,Boro Zone,#2a5a5b,36.694065628515936,-63.80302691883417,#b8d6be
226,60221.18,8889.27,Queens,Sunnyside,Boro Zone,#2a5a5b,-73.35388580739928,-85.81420087975134,#2a5a5b
227,6305.02,9435.18,Brooklyn,Sunset Park East,Boro Zone,#73ae80,7.505771703138386,-16.87153968416193,#e8e8e8
228,21265.29,10715.14,Brooklyn,Sunset Park West,Boro Zone,#5a9178,36.83655445557297,-36.79375390056782,#e8e8e8
229,330322.61,484.69,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,#6c83b5,-81.31160419023654,116.63091087869847,#6c83b5
230,231872.97,457.58000000000004,Manhattan,Times Sq/Theatre District,Yellow Zone,#6c83b5,-94.43438630065751,80.82592373048807,#6c83b5
231,168955.88,1044.25,Manhattan,TriBeCa/Civic Center,Yellow Zone,#6c83b5,-91.25136729198753,762.3038810900082,#6c83b5
232,37534.37,2403.57,Manhattan,Two Bridges/Seward Park,Yellow Zone,#567994,-80.1382046445367,183.9219901719902,#6c83b5
233,225786.72,719.57,Manhattan,UN/Turtle Bay South,Yellow Zone,#6c83b5,-84.93041748282243,202.28953117123177,#6c83b5
234,369509.15,995.07,Manhattan,Union Sq,Yellow Zone,#6c83b5,-87.62655336571548,637.5259412985473,#6c83b5
235,19623.03,12694.48,Bronx,University Heights/Morris Heights,Boro Zone,#5a9178,62.15691589140303,-51.070442947225615,#b8d6be
236,609135.64,3988.27,Manhattan,Upper East Side North,Yellow Zone,#567994,-78.8661931583125,-71.35219545272031,#2a5a5b
237,660261.8200000001,658.4,Manhattan,Upper East Side South,Yellow Zone,#6c83b5,-79.81405471167314,2762.608695652174,#6c83b5
238,441009.5,1564.33,Manhattan,Upper West Side North,Yellow Zone,#567994,-74.11392205752438,475.69278327751806,#6c83b5
239,448202.59,368.33000000000004,Manhattan,Upper West Side South,Yellow Zone,#6c83b5,-79.99415138064107,40.364315384322275,#6c83b5
240,2488.36,1050.95,Bronx,Van Cortlandt Park,Boro Zone,#e8e8e8,40.48371798925072,-64.32305634577389,#b8d6be
241,8559.3,9129.58,Bronx,Van Cortlandt Village,Boro Zone,#5a9178,36.696622071602306,-31.93275869910286,#e8e8e8
242,19774.18,16394.86,Bronx,Van Nest/Morris Park,Boro Zone,#5a9178,112.15474473855873,-61.38390706808903,#b8d6be
243,16792.86,14248.38,Manhattan,Washington Heights North,Boro Zone,#5a9178,-36.66014013867521,-68.77787986684936,#90b2b3
244,61985.63,57525.24,Manhattan,Washington Heights South,Boro Zone,#2a5a5b,-50.5498022690298,-75.11886127775242,#5a9178
245,175.38,0.0,Staten Island,West Brighton,Boro Zone,#e8e8e8,-58.771950445473564,-100.0,#5a9178
246,123918.65000000001,663.85,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,#6c83b5,-93.48262903700162,337.6936770620426,#6c83b5
247,19724.41,14573.92,Bronx,West Concourse,Boro Zone,#5a9178,-19.463309489404566,-70.56551521335372,#5a9178
248,16536.89,5983.09,Bronx,West Farms/Bronx River,Boro Zone,#90b2b3,152.79811787438427,-48.81947824539763,#e8e8e8
249,264053.62,293.75,Manhattan,West Village,Yellow Zone,#6c83b5,-86.29425120364851,309.350613154961,#6c83b5
250,9166.7,5976.54,Bronx,Westchester Village/Unionport,Boro Zone,#90b2b3,21.566370355242178,-65.22074625484674,#b8d6be
251,280.85,0.0,Staten Island,Westerleigh,Boro Zone,#e8e8e8,-57.87713351531332,-100.0,#5a9178
252,3539.62,1464.46,Queens,Whitestone,Boro Zone,#b8d6be,-34.620982637606204,-72.0062392714733,#5a9178
253,380.87,45.0,Queens,Willets Point,Boro Zone,#e8e8e8,-79.59256937411926,-99.40620554788754,#2a5a5b
254,25771.72,17994.42,Bronx,Williamsbridge/Olinville,Boro Zone,#2a5a5b,92.53115629020138,-45.41236756877445,#e8e8e8
255,6296.91,2486.85,Brooklyn,Williamsburg (North Side),Boro Zone,#b8d6be,-91.85712983324142,-97.42278137525446,#2a5a5b
256,11700.45,2886.09,Brooklyn,Williamsburg (South Side),Boro Zone,#90b2b3,-82.70552108699749,-92.98394330930707,#2a5a5b
257,3385.63,1878.35,Brooklyn,Windsor Terrace,Boro Zone,#b8d6be,-53.81182742889573,-70.97414738924174,#5a9178
258,14103.75,4672.36,Queens,Woodhaven,Boro Zone,#90b2b3,85.95858577201737,-49.42791489564359,#b8d6be
259,15678.83,10105.16,Bronx,Woodlawn/Wakefield,Boro Zone,#5a9178,129.89048595847882,-37.295048652190665,#e8e8e8
260,14142.07,6786.89,Queens,Woodside,Boro Zone,#5a9178,-80.42840571318331,-95.01857294297747,#2a5a5b
261,68389.86,330.15,Manhattan,World Trade Center,Yellow Zone,#6c83b5,-92.682248576382,-45.30318091451293,#6c83b5
262,244530.72,884.36,Manhattan,Yorkville East,Yellow Zone,#6c83b5,-77.42822454073593,32.56981816546492,#6c83b5
263,453948.17,2301.89,Manhattan,Yorkville West,Yellow Zone,#567994,-71.50921663454727,-49.16679916613667,#b5c0da
264,135769.82,949.22,Unknown,NV,,#6c83b5,-88.18020293061014,-95.14719903886709,#2a5a5b
265,52677.8,8517.39,Unknown,,,#2a5a5b,-84.30974126373812,-42.470436142879144,#6c83b5
