PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,69912.38,577.55,EWR,Newark Airport,EWR,#6c83b5,6.9647875737583
2,795.17,84.21,Queens,Jamaica Bay,Boro Zone,#e8e8e8,1.8066480817218056
3,5168.99,7349.83,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,8.804986757652355
4,226487.15,138.6,Manhattan,Alphabet City,Yellow Zone,#6c83b5,9.50308535623292
5,1428.6,0.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,6.07421895940033
6,670.04,98.58,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,6.463497366154817
7,151386.05,274135.12,Queens,Astoria,Boro Zone,#2a5a5b,10.034113541058785
8,5136.88,35.90000000000001,Queens,Astoria Park,Boro Zone,#e8e8e8,4.877027708092901
9,2089.8,3777.1,Queens,Auburndale,Boro Zone,#b8d6be,8.043473867519248
10,167912.82,12004.36,Queens,Baisley Park,Boro Zone,#567994,9.613719973593327
11,4144.97,4466.44,Brooklyn,Bath Beach,Boro Zone,#b8d6be,8.40692063139739
12,80306.83,78.12,Manhattan,Battery Park,Yellow Zone,#6c83b5,6.153349525701339
13,1597906.53,229.58,Manhattan,Battery Park City,Yellow Zone,#6c83b5,9.814819167102325
14,18128.91,25441.03,Brooklyn,Bay Ridge,Boro Zone,#5a9178,9.440456359266058
15,4854.0,2276.86,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,7.172846590904103
16,5567.02,6023.22,Queens,Bayside,Boro Zone,#b8d6be,8.058466537394228
17,23586.03,48257.2,Brooklyn,Bedford,Boro Zone,#5a9178,9.91854905648723
18,5039.21,14965.88,Bronx,Bedford Park,Boro Zone,#73ae80,9.57643382220615
19,3524.17,3852.02,Queens,Bellerose,Boro Zone,#b8d6be,7.5822190057375485
20,3065.07,8047.96,Bronx,Belmont,Boro Zone,#b8d6be,8.433346256838698
21,5420.77,10537.08,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,8.778660130330625
22,6778.83,12565.73,Brooklyn,Bensonhurst West,Boro Zone,#90b2b3,9.0899936779541
23,4892.63,171.89,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,8.57482416025115
24,368236.26,29068.71,Manhattan,Bloomingdale,Yellow Zone,#2a5a5b,10.397498803722137
25,121098.87,161271.43,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,9.736315460910415
26,9518.22,18475.63,Brooklyn,Borough Park,Boro Zone,#5a9178,8.858372901903925
27,421.81,403.36,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,5.132970913960044
28,42327.34,12796.49,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,8.851953964318573
29,5734.85,15276.39,Brooklyn,Brighton Beach,Boro Zone,#73ae80,10.434176095898328
30,546.62,219.9,Queens,Broad Channel,Boro Zone,#e8e8e8,3.9991177122790798
31,1441.48,5352.43,Bronx,Bronx Park,Boro Zone,#b8d6be,6.456094388384118
32,6380.900000000002,10644.74,Bronx,Bronxdale,Boro Zone,#90b2b3,8.706947060027488
33,169598.15,253130.94,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,9.297791568897512
34,4228.42,3591.51,Brooklyn,Brooklyn Navy Yard,Boro Zone,#b8d6be,7.847524227830121
35,15475.39,29136.57,Brooklyn,Brownsville,Boro Zone,#5a9178,10.262472675954182
36,14845.71,22345.92,Brooklyn,Bushwick North,Boro Zone,#5a9178,8.844207989978383
37,24708.85,23129.39,Brooklyn,Bushwick South,Boro Zone,#5a9178,10.917537644341083
38,5110.57,6981.3,Queens,Cambria Heights,Boro Zone,#b8d6be,9.349504744537711
39,21615.31,32212.35,Brooklyn,Canarsie,Boro Zone,#5a9178,10.577680990395391
40,68437.85,41667.08,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b,7.8436329286143325
41,406932.93,359705.28,Manhattan,Central Harlem,Boro Zone,#2a5a5b,11.580586636805345
42,179567.54,220215.42,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,12.121362763522553
43,2124668.18,90860.57,Manhattan,Central Park,Yellow Zone,#2a5a5b,11.110105754709663
44,1022.4,50.0,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8,8.834485521096411
45,298481.97000000003,69.9,Manhattan,Chinatown,Yellow Zone,#6c83b5,8.97930198832355
46,1605.06,1903.44,Bronx,City Island,Boro Zone,#e8e8e8,7.23040383586737
47,6511.87,10516.25,Bronx,Claremont/Bathgate,Boro Zone,#90b2b3,9.091438585751689
48,4107470.5,873.08,Manhattan,Clinton East,Yellow Zone,#6c83b5,11.97533797947265
49,30668.77,65952.25,Brooklyn,Clinton Hill,Boro Zone,#5a9178,9.318229288532821
50,1162146.04,138.79000000000002,Manhattan,Clinton West,Yellow Zone,#6c83b5,11.074420347745091
51,13743.45,26239.26,Bronx,Co-Op City,Boro Zone,#5a9178,9.893152832815025
52,80442.87,73453.24,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b,8.670204365110058
53,4636.45,2785.67,Queens,College Point,Boro Zone,#b8d6be,7.788903689744478
54,5610.08,3418.3,Brooklyn,Columbia Street,Boro Zone,#b8d6be,7.40479633057751
55,11817.18,45679.33,Brooklyn,Coney Island,Boro Zone,#5a9178,9.861250494785988
56,24466.63,16373.68,Queens,Corona,Boro Zone,#5a9178,8.903001021664481
57,667.87,1576.37,Queens,Corona,Boro Zone,#e8e8e8,6.397646065199887
58,927.67,1036.19,Bronx,Country Club,Boro Zone,#e8e8e8,5.751492690812277
59,166.15,420.82000000000005,Bronx,Crotona Park,Boro Zone,#e8e8e8,6.172097178469975
60,3859.8,5826.6,Bronx,Crotona Park East,Boro Zone,#b8d6be,8.710919466473628
61,34659.6,72340.57,Brooklyn,Crown Heights North,Boro Zone,#5a9178,10.78622563737754
62,10631.07,19536.65,Brooklyn,Crown Heights South,Boro Zone,#5a9178,9.456987145910029
63,7535.03,9015.33,Brooklyn,Cypress Hills,Boro Zone,#90b2b3,9.552592302513084
64,3543.96,1716.24,Queens,Douglaston,Boro Zone,#e8e8e8,8.215904297958224
65,194303.2,199402.29,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,10.511323001799125
66,93755.25,196189.07,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b,8.42890390734196
67,3776.41,5213.32,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,7.612129203156549
68,3183528.27,588.08,Manhattan,East Chelsea,Yellow Zone,#6c83b5,11.759305583989901
69,15040.86,33246.12,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,10.001417479622173
70,97347.32,8366.35,Queens,East Elmhurst,Boro Zone,#567994,9.35380934784787
71,13024.44,21508.31,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,9.965295473977339
72,14589.75,23094.49,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178,9.7859211809064
73,853.18,2236.65,Queens,East Flushing,Boro Zone,#b8d6be,7.508907777396076
74,430958.2,567221.8200000001,Manhattan,East Harlem North,Boro Zone,#2a5a5b,11.977656593983044
75,854375.9500000002,482870.91,Manhattan,East Harlem South,Boro Zone,#2a5a5b,12.606109279430763
76,34543.74,48334.41,Brooklyn,East New York,Boro Zone,#5a9178,10.795336400384878
77,6536.11,13462.33,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#90b2b3,9.797794759458052
78,7297.51,15647.81,Bronx,East Tremont,Boro Zone,#5a9178,9.355811204972124
79,3161844.35,304.01,Manhattan,East Village,Yellow Zone,#6c83b5,11.347743227307854
80,51650.95,53965.07,Brooklyn,East Williamsburg,Boro Zone,#5a9178,9.077614369223864
81,8103.42,12281.96,Bronx,Eastchester,Boro Zone,#90b2b3,9.512172360507366
82,62082.9,306658.18,Queens,Elmhurst,Boro Zone,#2a5a5b,11.388863495502093
83,14066.05,39071.27,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178,8.773844243444913
84,828.98,60.01,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,7.953237499707175
85,8972.4,14139.09,Brooklyn,Erasmus,Boro Zone,#90b2b3,9.337748052892682
86,6467.05,10283.99,Queens,Far Rockaway,Boro Zone,#90b2b3,9.174538049462384
87,1336588.54,520.4,Manhattan,Financial District North,Yellow Zone,#6c83b5,10.14220046980054
88,741724.16,165.22,Manhattan,Financial District South,Yellow Zone,#6c83b5,9.59927628924424
89,24744.75,36154.13,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178,10.132392475231033
90,2086820.27,499.24,Manhattan,Flatiron,Yellow Zone,#6c83b5,11.28309837851049
91,14378.58,23703.33,Brooklyn,Flatlands,Boro Zone,#5a9178,9.939525803177196
92,12456.69,76532.78,Queens,Flushing,Boro Zone,#5a9178,9.346704373972106
93,91959.54,42931.78,Queens,Flushing Meadows-Corona Park,Boro Zone,#2a5a5b,7.908846612548757
94,2842.27,6734.75,Bronx,Fordham South,Boro Zone,#b8d6be,8.754835919798154
95,28517.27,221906.16,Queens,Forest Hills,Boro Zone,#5a9178,10.086868131701218
96,4691.33,1976.99,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8,6.234175403914721
97,108686.15,209871.9,Brooklyn,Fort Greene,Boro Zone,#2a5a5b,10.465380460151211
98,3242.53,3395.12,Queens,Fresh Meadows,Boro Zone,#b8d6be,7.394579151458122
99,348.26,0.0,Staten Island,Freshkills Park,Boro Zone,#e8e8e8,5.274434426084705
100,2627630.17,741.76,Manhattan,Garment District,Yellow Zone,#6c83b5,11.477896243230834
101,4996.29,3322.42,Queens,Glen Oaks,Boro Zone,#b8d6be,7.683900795041251
102,3573.21,5849.4,Queens,Glendale,Boro Zone,#b8d6be,8.067155313416148
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,0.0
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,0.0
105,235.69,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,0.0
106,17287.15,18071.57,Brooklyn,Gowanus,Boro Zone,#5a9178,8.68501006200731
107,2875607.93,266.81,Manhattan,Gramercy,Yellow Zone,#6c83b5,11.752040549596884
108,5165.38,10565.99,Brooklyn,Gravesend,Boro Zone,#b8d6be,8.832037507334924
109,337.61,0.0,Staten Island,Great Kills,Boro Zone,#e8e8e8,5.157156946759023
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8,0.0
111,305.68,339.26,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8,3.0392705755684744
112,42741.53,47172.92,Brooklyn,Greenpoint,Boro Zone,#5a9178,8.511255598749484
113,1895085.57,163.15,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5,10.605503290924922
114,1560076.77,218.1,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5,9.8985644539486
115,330.1,2818.52,Staten Island,Grymes Hill/Clifton,Boro Zone,#b8d6be,8.373618389321152
116,148159.61000000002,120550.16,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b,10.649691970820422
117,5892.3,10313.36,Queens,Hammels/Arverne,Boro Zone,#90b2b3,9.896913993964692
118,798.4,175.84,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8,6.722593693120756
119,8764.67,16969.12,Bronx,Highbridge,Boro Zone,#5a9178,9.471238947461547
