PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
1,431.86,188.15,EWR,Newark Airport,EWR,#e8e8e8,-99.28632207653736,-70.88588007736945,#6c83b5,-98.98621835131021,6.429735606941326,0.0,1.0252542672467282e-43,-98.98621835131021
2,0.0,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-100.0,-100.0,#2a5a5b,-100.0,0.0,0.0,3.7200759760208356e-44,-100.0
3,1477.21,1250.85,Bronx,Allerton/Pelham Gardens,Boro Zone,#90b2b3,-63.46731692357916,-80.79205792249873,#b8d6be,-74.1555257453807,7.911346012856383,0.0,6.232529835093979e-33,-74.1555257453807
4,6531.230000000001,333.48,Manhattan,Alphabet City,Yellow Zone,#567994,-97.05487617274908,436.8319381841597,#6c83b5,-96.90536708652819,8.834149074046874,0.0,8.213604888844258e-43,-96.90536708652819
5,114.78,0.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-95.0865146702511,-100.0,#5a9178,-95.93073961413285,4.743017252680216,0.0,2.176752944906353e-42,-95.93073961413285
6,84.34,0.0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-95.44443004061878,-100.0,#2a5a5b,-95.60733742356851,4.434856248318414,0.0,3.007882919168835e-42,-95.60733742356851
7,9981.4,6650.82,Queens,Astoria,Boro Zone,#2a5a5b,-93.22139473263512,-97.56041054292109,#5a9178,-96.03871245186355,9.719097056963594,0.0,1.9539665874050115e-42,-96.03871245186355
8,0.0,11.05,Queens,Astoria Park,Boro Zone,#e8e8e8,-100.0,-86.89516129032259,#567994,-99.73617295593732,2.4024304279637616,0.0,4.843178091908803e-44,-99.73617295593732
9,684.04,878.86,Queens,Auburndale,Boro Zone,#b8d6be,-70.9627164403391,-73.50501043086088,#e8e8e8,-72.44927998646175,7.354298348848148,0.0,3.4330290943594113e-32,-72.44927998646175
10,4344.41,4000.41,Queens,Baisley Park,Boro Zone,#5a9178,-97.02095101003476,-63.16476186617657,#6c83b5,-94.67439356818797,9.029396266061028,0.0,7.645982431712178e-42,-94.67439356818797
