PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color
1,5524.39,120.39,EWR,Newark Airport,EWR,#e8e8e8,-94.10373366126954,-88.01755713034477,#2a5a5b
2,0.0,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-100.0,-100.0,#2a5a5b
3,7524.79,5347.400000000001,Bronx,Allerton/Pelham Gardens,Boro Zone,#90b2b3,14.538674054173365,-59.774749429050274,#b8d6be
4,28069.31,713.82,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-86.77568911448506,-76.54253641095747,#2a5a5b
5,893.26,0.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-64.77348014007634,-100.0,#5a9178
6,954.9399999999999,183.56,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,62.93680043680041,307.9111111111111,#e8e8e8
7,33388.8,23851.13,Queens,Astoria,Boro Zone,#2a5a5b,-74.48507323138865,-89.27278264192684,#2a5a5b
8,125.27,131.53,Queens,Astoria Park,Boro Zone,#e8e8e8,-97.49377294507187,882.3002240477969,#6c83b5
9,4244.42,2197.17,Queens,Auburndale,Boro Zone,#b8d6be,9.260760888312264,-74.33341549431512,#73ae80
10,23128.98,9870.31,Queens,Baisley Park,Boro Zone,#2a5a5b,-85.21129408226182,-49.23533952879326,#567994
11,4243.63,2369.78,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-4.691072431218414,-74.39199659392742,#73ae80
12,4318.26,0.0,Manhattan,Battery Park,Yellow Zone,#e8e8e8,-93.11599707375754,-0.0,#6c83b5
13,111211.59,150.51,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-91.43406815027572,-84.02636271013755,#2a5a5b
14,18683.09,14862.59,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-21.68931139487754,-66.32499059144628,#73ae80
15,3223.79,791.91,Queens,Bay Terrace/Fort Totten,Boro Zone,#e8e8e8,-32.987787766980205,-83.7133972531744,#73ae80
16,5533.83,2765.7,Queens,Bayside,Boro Zone,#b8d6be,-13.775872707215377,-79.04490150944598,#73ae80
17,21740.420000000002,16320.61,Brooklyn,Bedford,Boro Zone,#2a5a5b,-22.559201527413645,-72.14187517090627,#73ae80
