PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color
1,61118.4,347.85,EWR,Newark Airport,EWR,#6c83b5
2,122.16,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8
3,7570.2,17659.52,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be
4,271591.66000000003,29.92,Manhattan,Alphabet City,Yellow Zone,#6c83b5
5,1709.6,3410.3399999999997,Staten Island,Arden Heights,Boro Zone,#b8d6be
6,1041.42,109.8,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8
7,165242.11000000002,290742.49,Queens,Astoria,Boro Zone,#2a5a5b
8,3683.0,122.68,Queens,Astoria Park,Boro Zone,#e8e8e8
9,4019.2599999999998,7508.56,Queens,Auburndale,Boro Zone,#b8d6be
10,173123.9,20823.06,Queens,Baisley Park,Boro Zone,#567994
11,6168.74,11009.960000000001,Brooklyn,Bath Beach,Boro Zone,#b8d6be
12,59640.81,142.02,Manhattan,Battery Park,Yellow Zone,#6c83b5
13,1493697.26,396.49,Manhattan,Battery Park City,Yellow Zone,#6c83b5
14,27880.85,51987.09,Brooklyn,Bay Ridge,Boro Zone,#5a9178
15,5173.63,5070.46,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be
16,7941.35,10394.16,Queens,Bayside,Boro Zone,#b8d6be
17,32448.06,70652.8,Brooklyn,Bedford,Boro Zone,#5a9178
18,7734.71,27470.54,Bronx,Bedford Park,Boro Zone,#73ae80
19,3932.2400000000002,7796.08,Queens,Bellerose,Boro Zone,#b8d6be
20,5515.21,16360.52,Bronx,Belmont,Boro Zone,#b8d6be
21,9154.51,25224.28,Brooklyn,Bensonhurst East,Boro Zone,#90b2b3
22,10508.25,27579.5,Brooklyn,Bensonhurst West,Boro Zone,#5a9178
23,3380.0299999999997,1531.28,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8
24,355128.57,23830.29,Manhattan,Bloomingdale,Yellow Zone,#567994
25,133989.28,180504.64,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b
26,15397.83,36104.69,Brooklyn,Borough Park,Boro Zone,#5a9178
27,433.68,324.62,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8
28,41853.7,21318.31,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3
29,5677.42,24904.75,Brooklyn,Brighton Beach,Boro Zone,#b8d6be
30,208.54000000000002,115.09,Queens,Broad Channel,Boro Zone,#e8e8e8
31,2191.39,5001.44,Bronx,Bronx Park,Boro Zone,#b8d6be
32,10868.15,26842.94,Bronx,Bronxdale,Boro Zone,#5a9178
33,158002.93,232596.35,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b
34,3365.85,2716.92,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8
35,28391.15,56832.95,Brooklyn,Brownsville,Boro Zone,#5a9178
36,17519.89,38556.31,Brooklyn,Bushwick North,Boro Zone,#5a9178
37,32807.52,36441.2,Brooklyn,Bushwick South,Boro Zone,#5a9178
38,7634.5,15344.27,Queens,Cambria Heights,Boro Zone,#b8d6be
39,31204.2,62305.1,Brooklyn,Canarsie,Boro Zone,#5a9178
40,64609.0,43891.38,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b
41,441389.49,418045.88,Manhattan,Central Harlem,Boro Zone,#2a5a5b
42,213397.44,277761.51,Manhattan,Central Harlem North,Boro Zone,#2a5a5b
43,1760566.43,83411.59,Manhattan,Central Park,Yellow Zone,#2a5a5b
44,1394.32,179.62,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8
45,321712.7,157.01,Manhattan,Chinatown,Yellow Zone,#6c83b5
46,1006.62,4011.65,Bronx,City Island,Boro Zone,#b8d6be
47,8245.54,24611.510000000002,Bronx,Claremont/Bathgate,Boro Zone,#b8d6be
48,4315344.05,1304.42,Manhattan,Clinton East,Yellow Zone,#6c83b5
49,40808.88,85101.12,Brooklyn,Clinton Hill,Boro Zone,#5a9178
50,1272766.71,143.35,Manhattan,Clinton West,Yellow Zone,#6c83b5
51,29127.76,59149.25,Bronx,Co-Op City,Boro Zone,#5a9178
52,76186.82,75096.13,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b
53,5157.7,5449.85,Queens,College Point,Boro Zone,#b8d6be
54,5025.71,4024.04,Brooklyn,Columbia Street,Boro Zone,#b8d6be
55,11019.93,73857.89,Brooklyn,Coney Island,Boro Zone,#5a9178
56,24836.07,27791.97,Queens,Corona,Boro Zone,#5a9178
57,367.64,1406.1200000000001,Queens,Corona,Boro Zone,#e8e8e8
58,991.83,1628.95,Bronx,Country Club,Boro Zone,#e8e8e8
59,907.77,1498.46,Bronx,Crotona Park,Boro Zone,#e8e8e8
60,6300.24,12531.74,Bronx,Crotona Park East,Boro Zone,#b8d6be
61,56471.78,119219.78,Brooklyn,Crown Heights North,Boro Zone,#5a9178
62,16892.35,35568.520000000004,Brooklyn,Crown Heights South,Boro Zone,#5a9178
63,7801.84,13659.8,Brooklyn,Cypress Hills,Boro Zone,#b8d6be
64,3518.13,4362.88,Queens,Douglaston,Boro Zone,#b8d6be
65,205082.7,225382.38,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b
66,78393.68000000001,185655.14,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b
67,5152.63,10063.92,Brooklyn,Dyker Heights,Boro Zone,#b8d6be
68,3383936.69,264.1,Manhattan,East Chelsea,Yellow Zone,#6c83b5
69,23464.97,49679.37,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178
70,39015.35,9667.12,Queens,East Elmhurst,Boro Zone,#90b2b3
71,18107.2,39907.07,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178
72,19811.89,43444.92,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178
73,834.97,3918.18,Queens,East Flushing,Boro Zone,#b8d6be
74,453168.7,574751.83,Manhattan,East Harlem North,Boro Zone,#2a5a5b
75,862981.73,494002.56,Manhattan,East Harlem South,Boro Zone,#2a5a5b
76,52130.71,98373.1,Brooklyn,East New York,Boro Zone,#5a9178
77,10794.36,23911.1,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#90b2b3
78,11829.380000000001,27461.47,Bronx,East Tremont,Boro Zone,#5a9178
79,3570878.32,354.86,Manhattan,East Village,Yellow Zone,#6c83b5
80,56884.24,59417.61,Brooklyn,East Williamsburg,Boro Zone,#2a5a5b
81,10083.07,27103.89,Bronx,Eastchester,Boro Zone,#5a9178
