PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color
1,1058.69,0.0,EWR,Newark Airport,EWR,#e8e8e8,-98.485690231115,-100.0,#2a5a5b
2,6.09,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-99.234126035942,-100.0,#2a5a5b
3,3244.45,3422.96,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,-37.23241871235967,-53.42803847163812,#90b2b3
4,13201.69,199.32,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-94.17110860373315,43.80952380952381,#6c83b5
5,256.88,177.63,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-82.01875962480749,-0.0,#6c83b5
6,514.79,126.51,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-23.170258492030328,28.33231892878881,#e8e8e8
7,14580.35,8210.48,Queens,Astoria,Boro Zone,#2a5a5b,-90.36876251147315,-97.00495142687299,#2a5a5b
8,120.19,11.05,Queens,Astoria Park,Boro Zone,#e8e8e8,-97.66025291616702,-69.22005571030641,#2a5a5b
9,1947.3500000000001,1166.06,Queens,Auburndale,Boro Zone,#b8d6be,-6.816441764762179,-69.12816711233486,#73ae80
10,9397.23,5571.52,Queens,Baisley Park,Boro Zone,#5a9178,-94.40350653392635,-53.58752986414935,#567994
11,3416.45,1061.5,Brooklyn,Bath Beach,Boro Zone,#90b2b3,-17.57600175634565,-76.23386858437591,#73ae80
12,470.29,0.0,Manhattan,Battery Park,Yellow Zone,#e8e8e8,-99.41438355865871,-100.0,#2a5a5b
13,18302.98,0.0,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-98.85456504142329,-100.0,#2a5a5b
14,7669.05,4918.41,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-57.69712575107936,-80.66741008520488,#5a9178
15,675.94,627.61,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,-86.07457766790276,-72.435283680156,#2a5a5b
16,2296.3,864.14,Queens,Bayside,Boro Zone,#b8d6be,-58.75171995070971,-85.65318882591039,#5a9178
17,12420.5,7883.01,Brooklyn,Bedford,Boro Zone,#2a5a5b,-47.33959042704516,-83.66459305554405,#5a9178
18,6050.28,8370.62,Bronx,Bedford Park,Boro Zone,#5a9178,20.064057659831594,-44.068641469796624,#b8d6be
19,1289.94,673.04,Queens,Bellerose,Boro Zone,#b8d6be,-63.39733894789411,-82.52760889091957,#5a9178
20,2584.19,2013.67,Bronx,Belmont,Boro Zone,#b8d6be,-15.689038097009206,-74.97912514475718,#73ae80
21,3446.8,3047.37,Brooklyn,Bensonhurst East,Boro Zone,#90b2b3,-36.41493736129738,-71.07955904292271,#5a9178
22,5113.03,3753.1,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,-24.573562104374947,-70.1322565421985,#73ae80
23,4526.16,770.46,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#90b2b3,-7.490245532566335,348.22851823840836,#e8e8e8
24,30675.670000000002,2101.87,Manhattan,Bloomingdale,Yellow Zone,#567994,-91.66956833637188,-92.76930417620872,#2a5a5b
25,8334.13,8586.95,Brooklyn,Boerum Hill,Boro Zone,#5a9178,-93.11791266095216,-94.67546731618862,#2a5a5b
26,4345.78,2687.25,Brooklyn,Borough Park,Boro Zone,#90b2b3,-54.3425136212443,-85.455164451767,#5a9178
27,104.82,64.7,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,-75.14994902918376,-83.95973819912733,#2a5a5b
28,4417.74,2570.29,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,-89.56291607268494,-79.91410144500563,#2a5a5b
29,18004.43,15997.62,Brooklyn,Brighton Beach,Boro Zone,#2a5a5b,213.94770569413325,4.721207039097597,#e8e8e8
30,0.0,54.55,Queens,Broad Channel,Boro Zone,#e8e8e8,-100.0,-75.19326966803092,#2a5a5b
31,468.71,167.85999999999999,Bronx,Bronx Park,Boro Zone,#e8e8e8,-67.48411354996253,-96.86385436147694,#2a5a5b
32,3229.81,2814.95,Bronx,Bronxdale,Boro Zone,#b8d6be,-49.383159115485284,-73.55548374126563,#5a9178
33,5144.85,5769.04,Brooklyn,Brooklyn Heights,Boro Zone,#5a9178,-96.96644686277533,-97.72092656867628,#2a5a5b
