PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
1,3670.33,0.0,EWR,Newark Airport,EWR,#e8e8e8,-95.22511555937685,-100.0,#2a5a5b,-95.26940750854104,8.208036855262343,0.0,4.217178899242932e-42,-95.26940750854104
2,103.79,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,2.6607319485657883,-100.0,#73ae80,-74.9553592973312,4.642369626977198,0.0,2.8009223438958427e-33,-74.9553592973312
3,6927.4,5591.57,Bronx,Allerton/Pelham Gardens,Boro Zone,#90b2b3,1.6399070958957502,-55.16126186810368,#e8e8e8,-35.08788485758863,9.435000372899255,0.0,5.774644120285972e-16,-35.08788485758863
4,27726.98,774.38,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-85.43818582363014,-44.486103245324145,#6c83b5,-85.14035387001798,10.257707084416458,0.0,1.0568518864926794e-37,-85.14035387001798
5,754.9499999999997,1584.1,Staten Island,Arden Heights,Boro Zone,#b8d6be,-66.16243108780424,-0.0,#b5c0da,4.838420510062288,7.757500143012392,1.5765883265715408,0.99214267348174,1.7644602996532974
6,134.3,0.0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-78.52608688700212,-100.0,#2a5a5b,-82.40373150950566,4.900076103529192,0.0,1.6312259330267996e-36,-82.40373150950566
7,34023.090000000004,19594.28,Queens,Astoria,Boro Zone,#2a5a5b,-72.60319672814282,-91.8928850014682,#2a5a5b,-85.34559018105287,10.88962836172465,0.0,8.607581224973702e-38,-85.34559018105287
8,215.89,77.42999999999998,Queens,Astoria Park,Boro Zone,#e8e8e8,-96.29231448262595,-43.13307873090482,#6c83b5,-95.07763977761107,5.681264163225597,0.0,5.108644619030764e-42,-95.07763977761107
9,5149.8,3238.8,Queens,Auburndale,Boro Zone,#b8d6be,65.20383416098858,-50.849973139574054,#e8e8e8,-13.580704779918523,9.034628920221834,0.0,1.2646615201651042e-06,-13.580704779918523
10,22589.88,8909.55,Queens,Baisley Park,Boro Zone,#2a5a5b,-87.13215951877781,-49.64671799833618,#6c83b5,-83.69991929502892,10.357724729411908,0.0,4.462589244845755e-37,-83.69991929502892
11,3319.84,2504.34,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-32.58195139980423,-70.50667690470497,#90b2b3,-56.586090535776975,8.669773495992331,0.0,2.660560431336207e-25,-56.586090535776975
12,6042.52,0.0,Manhattan,Battery Park,Yellow Zone,#e8e8e8,-91.75568923778887,-100.0,#2a5a5b,-91.77266291979703,8.706576422460452,0.0,1.391998939369583e-40,-91.77266291979703
13,107763.18,292.72,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-92.43287056721391,-62.90269434517021,#567994,-92.4165176113586,11.590403964794106,0.0,7.31166634091149e-41,-92.4165176113586
14,17657.68,17469.13,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-22.84684484716556,-54.581869801809006,#b5c0da,-42.743054010444766,10.466719935557519,0.0,2.734812168204076e-19,-42.743054010444766
15,3673.12,1033.18,Queens,Bay Terrace/Fort Totten,Boro Zone,#e8e8e8,-11.613972861828248,-80.80197707044242,#5a9178,-50.654628533562885,8.456657315661753,0.0,1.0022460308629722e-22,-50.654628533562885
16,4610.88,2739.14,Queens,Bayside,Boro Zone,#b8d6be,-17.133100895007363,-74.60766255039506,#5a9178,-55.04979063044485,8.902458313291618,0.0,1.236458940761514e-24,-55.04979063044485
17,22994.97,16770.12,Brooklyn,Bedford,Boro Zone,#2a5a5b,-7.7718048072630666,-67.9037939855547,#90b2b3,-48.47895687906401,10.590744670685543,0.0,8.827882397791287e-22,-48.47895687906401
18,10994.37,12349.4,Bronx,Bedford Park,Boro Zone,#5a9178,84.81007764317089,-40.693236107135796,#e8e8e8,-12.805053651343023,10.058085418075237,0.0,2.7468482397385258e-06,-12.805053651343023
19,7291.83,3939.24,Queens,Bellerose,Boro Zone,#90b2b3,56.6192058456496,-39.79587782012918,#e8e8e8,0.2871708050158359,9.326439323692254,-1.2476781008197526,0.5713033585069753,0.2524466354380696
20,5398.32,4660.8,Bronx,Belmont,Boro Zone,#b8d6be,55.25128337862903,-60.85174007665358,#b8d6be,-34.607408601633274,9.216234964678453,0.0,9.336700144909363e-16,-34.607408601633274
21,6129.6,5355.39,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,-11.079260676625081,-67.79127378490828,#90b2b3,-51.170235968924096,9.348796244421903,0.0,5.984789516811442e-23,-51.170235968924096
22,9570.27,8763.97,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,9.842884344559485,-56.31254483288395,#b8d6be,-36.28037103842799,9.816525628869117,0.0,1.7524073119377915e-16,-36.28037103842799
23,2997.31,1491.91,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#b8d6be,-32.17773614278991,-30.03184399724237,#b5c0da,-31.479341782121388,8.409434246268951,0.0,2.13155022421414e-14,-31.479341782121388
24,99499.78,5292.26,Manhattan,Bloomingdale,Yellow Zone,#567994,-67.03973790736654,-77.42080818613351,#5a9178,-67.78768108586878,11.559733093785939,0.0,3.6323205134929414e-30,-67.78768108586878
25,27559.88,20318.2,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,-73.94387129955979,-84.15302174519702,#2a5a5b,-79.53807357340506,10.776413058617246,0.0,2.8645311273157947e-35,-79.53807357340506
26,14110.35,9359.47,Brooklyn,Borough Park,Boro Zone,#5a9178,6.817044579680438,-59.52134742727596,#b8d6be,-35.401474520131394,10.063470619450513,0.0,4.220218769311676e-16,-35.401474520131394
27,1742.88,593.13,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,278.4920083391243,4.242605318195396,#e8e8e8,126.91384887369227,7.756199624760872,4.843508500946255,1.0,4.851356981641684
28,7833.4,3694.95,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,-85.9951048838527,-78.51742031134174,#2a5a5b,-84.23647037830365,9.35256449807899,0.0,2.6095507040554007e-37,-84.23647037830365
29,8512.7,6415.44,Brooklyn,Brighton Beach,Boro Zone,#90b2b3,11.374959441496332,-72.54601062907902,#73ae80,-51.86217904792616,9.61100330139256,0.0,2.996000075744621e-23,-51.86217904792616
30,42.83,0.0,Queens,Broad Channel,Boro Zone,#e8e8e8,-82.73262377035961,-100.0,#2a5a5b,-95.19703052459236,3.7572387916272794,0.0,4.533722659496109e-42,-95.19703052459236
31,1178.96,666.09,Bronx,Bronx Park,Boro Zone,#e8e8e8,9.55350090600752,-90.78649975793623,#73ae80,-77.78560377574301,7.520261656378425,0.0,1.6525001541961635e-34,-77.78560377574301
32,10903.46,9463.85,Bronx,Bronxdale,Boro Zone,#5a9178,69.11012710254283,-34.58762038653633,#e8e8e8,-2.621114549810601,9.921686443554076,0.0,0.06779182444460723,-2.621114549810601
33,26073.96,21221.83,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,-83.25126392962669,-89.68153907432422,#2a5a5b,-86.91120863912771,10.76417656417623,0.0,1.7986293356709781e-38,-86.91120863912771
34,4579.58,1571.94,Brooklyn,Brooklyn Navy Yard,Boro Zone,#b8d6be,52.924872940500784,-34.73039968775692,#e8e8e8,13.852942047439958,8.724454484734473,2.6284976322727776,0.9999990367405188,2.6981979632987185
35,33281.14,20447.92,Brooklyn,Brownsville,Boro Zone,#2a5a5b,56.77080168466314,-57.39065945755814,#b8d6be,-22.377556507324787,10.891709288688011,0.0,1.912276510096761e-10,-22.377556507324787
36,9446.0,4514.87,Brooklyn,Bushwick North,Boro Zone,#90b2b3,-31.47902587925336,-83.94354937082863,#5a9178,-66.68391231542164,9.5440136952914,0.0,1.0953296644752642e-29,-66.68391231542164
37,20651.25,10261.97,Brooklyn,Bushwick South,Boro Zone,#2a5a5b,-21.512038906388725,-66.9556685587838,#90b2b3,-46.11278494843334,10.338939203107154,0.0,9.40745071382425e-21,-46.11278494843334
38,6555.34,5929.43,Queens,Cambria Heights,Boro Zone,#b8d6be,-21.929567568211326,-32.92272362184237,#b5c0da,-27.56741546958762,9.432264780437658,0.0,1.0656720642076924e-12,-27.56741546958762
39,31815.75,20774.41,Brooklyn,Canarsie,Boro Zone,#2a5a5b,17.027322283772158,-58.77649119736511,#b8d6be,-32.21272636130648,10.87028430898226,0.0,1.0237424083332501e-14,-32.21272636130648
40,6169.41,2342.12,Brooklyn,Carroll Gardens,Boro Zone,#b8d6be,-88.04371187357452,-91.92025263268287,#2a5a5b,-89.4381183127604,9.049176993891543,0.0,1.4372050844635244e-39,-89.4381183127604
