PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
1,4371.8,247.15,EWR,Newark Airport,EWR,#e8e8e8,-94.93718264022716,-83.59921430183019,#2a5a5b,-94.74271401591224,8.437922685518151,0.0,7.141050467558432e-42,-94.74271401591224
2,0.0,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-100.0,-100.0,#2a5a5b,-100.0,0.0,0.0,3.7200759760208356e-44,-100.0
3,8470.16,6883.150000000002,Bronx,Allerton/Pelham Gardens,Boro Zone,#90b2b3,25.647286396230946,-58.1162266116504,#e8e8e8,-33.75097895806499,9.639086364948572,0.0,2.198548647202723e-15,-33.75097895806499
4,34522.66,1261.71,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-82.7043589072001,-58.70300241227282,#6c83b5,-82.34252260391807,10.485266484875906,0.0,1.7341905172584414e-36,-82.34252260391807
5,1267.04,270.82,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-62.90584177952654,-0.0,#b5c0da,-54.97725236698343,7.33814711861416,0.0,1.3294826277666452e-24,-54.97725236698343
6,479.27,381.46,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,90.64799713592423,429.8055555555557,#e8e8e8,166.1585083026686,6.757780866398291,5.112942202052045,1.0,5.118942513770267
7,37679.41,30322.55,Queens,Astoria,Boro Zone,#2a5a5b,-72.21791991395087,-87.89642268779644,#2a5a5b,-82.38977306225172,11.127291807272263,0.0,1.6541549687535456e-36,-82.38977306225172
8,469.23,110.6,Queens,Astoria Park,Boro Zone,#e8e8e8,-91.0824309274667,-21.26993166287017,#6c83b5,-89.26705834878959,6.3627349571289775,0.0,1.7053327926228766e-39,-89.26705834878959
9,5232.93,2975.41,Queens,Auburndale,Boro Zone,#b8d6be,15.853269749339152,-64.3198990782012,#e8e8e8,-36.15163048508904,9.012905989554593,0.0,1.9931793015039663e-16,-36.15163048508904
10,22804.17,11227.92,Queens,Baisley Park,Boro Zone,#2a5a5b,-86.5146303697438,-51.90317510701705,#6c83b5,-82.31616475042927,10.435059182006338,0.0,1.780507787248656e-36,-82.31616475042927
