PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,61118.4,347.85,EWR,Newark Airport,EWR,#6c83b5,10.363258695501596
2,122.16,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,2.7966713927557385
3,7570.2,17659.52,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,8.87850437138437
4,271591.66000000003,29.92,Manhattan,Alphabet City,Yellow Zone,#6c83b5,11.483324651846239
5,1709.6,3410.34,Staten Island,Arden Heights,Boro Zone,#b8d6be,6.278652747625093
6,1041.42,109.8,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,6.238558972577978
7,165242.11000000002,290742.49,Queens,Astoria,Boro Zone,#2a5a5b,12.003911845969702
8,3683.0,122.68,Queens,Astoria Park,Boro Zone,#e8e8e8,7.909555594051263
9,4019.26,7508.56,Queens,Auburndale,Boro Zone,#b8d6be,8.544062944510488
10,173123.9,20823.06,Queens,Baisley Park,Boro Zone,#567994,10.920699239787927
11,6168.74,11009.96,Brooklyn,Bath Beach,Boro Zone,#b8d6be,8.625753382648131
12,59640.81,142.02,Manhattan,Battery Park,Yellow Zone,#6c83b5,9.858331701243904
13,1493697.26,396.49,Manhattan,Battery Park City,Yellow Zone,#6c83b5,13.188093887840301
14,27880.85,51987.09,Brooklyn,Bay Ridge,Boro Zone,#5a9178,10.302120038017485
15,5173.63,5070.46,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,8.189447170388094
16,7941.35,10394.16,Queens,Bayside,Boro Zone,#b8d6be,8.97244352401262
17,32448.06,70652.8,Brooklyn,Bedford,Boro Zone,#5a9178,10.580420235755359
18,7734.71,27470.54,Bronx,Bedford Park,Boro Zone,#73ae80,9.637221837297469
19,3932.24,7796.08,Queens,Bellerose,Boro Zone,#b8d6be,8.795745716080253
20,5515.21,16360.52,Bronx,Belmont,Boro Zone,#b8d6be,8.873333592512397
21,9154.51,25224.28,Brooklyn,Bensonhurst East,Boro Zone,#90b2b3,9.268813032926047
22,10508.25,27579.5,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,9.56466234986019
23,3380.03,1531.28,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,7.8641240487093995
24,355128.57,23830.29,Manhattan,Bloomingdale,Yellow Zone,#567994,12.032426091853086
25,133989.28,180504.64,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,11.646659362089332
26,15397.83,36104.69,Brooklyn,Borough Park,Boro Zone,#5a9178,9.703423728445845
27,433.68,324.62,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,7.190804134642461
28,41853.7,21318.31,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,10.354668261915597
29,5677.42,24904.75,Brooklyn,Brighton Beach,Boro Zone,#b8d6be,9.782433422679828
30,208.54,115.09,Queens,Broad Channel,Boro Zone,#e8e8e8,6.347038885602681
31,2191.39,5001.44,Bronx,Bronx Park,Boro Zone,#b8d6be,7.644651366472097
32,10868.15,26842.94,Bronx,Bronxdale,Boro Zone,#5a9178,9.214386176659923
33,158002.93,232596.35,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,11.909861033090367
34,3365.85,2716.92,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,8.052637097370708
35,28391.15,56832.95,Brooklyn,Brownsville,Boro Zone,#5a9178,10.411416886099975
36,17519.89,38556.31,Brooklyn,Bushwick North,Boro Zone,#5a9178,9.616956151141743
37,32807.52,36441.2,Brooklyn,Bushwick South,Boro Zone,#5a9178,10.12215068173252
38,7634.5,15344.27,Queens,Cambria Heights,Boro Zone,#b8d6be,9.253753247264363
39,31204.2,62305.1,Brooklyn,Canarsie,Boro Zone,#5a9178,10.602174360985348
40,64609.0,43891.38,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b,10.54206476046751
41,441389.49,418045.88,Manhattan,Central Harlem,Boro Zone,#2a5a5b,12.830175810438185
42,213397.44,277761.51,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,12.309792906705814
43,1760566.43,83411.59,Manhattan,Central Park,Yellow Zone,#2a5a5b,13.486469916506337
44,1394.32,179.62,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8,8.167391713849243
45,321712.7,157.01,Manhattan,Chinatown,Yellow Zone,#6c83b5,11.618865492678506
46,1006.62,4011.65,Bronx,City Island,Boro Zone,#b8d6be,7.76748412494053
47,8245.54,24611.51,Bronx,Claremont/Bathgate,Boro Zone,#b8d6be,9.456669840409385
