PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color
206,1187.3,1444.66,Staten Island,Saint George/New Brighton,Boro Zone,#e8e8e8
207,5936.86,402.54,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,#e8e8e8
208,4833.3099999999995,8384.26,Bronx,Schuylerville/Edgewater Park,Boro Zone,#b8d6be
209,345721.7,115.1,Manhattan,Seaport,Yellow Zone,#6c83b5
210,9030.39,30330.87,Brooklyn,Sheepshead Bay,Boro Zone,#5a9178
211,970313.8,62.75,Manhattan,SoHo,Yellow Zone,#6c83b5
212,4380.2,14576.28,Bronx,Soundview/Bruckner,Boro Zone,#73ae80
213,12014.77,21430.93,Bronx,Soundview/Castle Hill,Boro Zone,#5a9178
214,103.05,166.82,Staten Island,South Beach/Dongan Hills,Boro Zone,#e8e8e8
215,61152.04,10356.24,Queens,South Jamaica,Boro Zone,#567994
216,58735.84,11853.75,Queens,South Ozone Park,Boro Zone,#567994
217,7960.67,4996.56,Brooklyn,South Williamsburg,Boro Zone,#90b2b3
218,9237.61,7811.73,Queens,Springfield Gardens North,Boro Zone,#90b2b3
219,44100.17,3131.5,Queens,Springfield Gardens South,Boro Zone,#90b2b3
220,6941.79,13033.28,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,#5a9178
221,659.11,582.98,Staten Island,Stapleton,Boro Zone,#e8e8e8
222,9664.77,10930.75,Brooklyn,Starrett City,Boro Zone,#90b2b3
223,124906.89,84174.56,Queens,Steinway,Boro Zone,#2a5a5b
224,233018.76,134.36,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,#6c83b5
225,18922.87,33426.0,Brooklyn,Stuyvesant Heights,Boro Zone,#5a9178
226,234339.57,59993.56,Queens,Sunnyside,Boro Zone,#2a5a5b
227,6557.48,7681.54,Brooklyn,Sunset Park East,Boro Zone,#90b2b3
228,18319.06,16217.06,Brooklyn,Sunset Park West,Boro Zone,#5a9178
229,2473237.61,100.74,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,#6c83b5
230,4549241.67,95.57,Manhattan,Times Sq/Theatre District,Yellow Zone,#6c83b5
231,2290491.96,96.3,Manhattan,TriBeCa/Civic Center,Yellow Zone,#6c83b5
232,197298.13,224.28,Manhattan,Two Bridges/Seward Park,Yellow Zone,#6c83b5
233,1782623.99,72.0,Manhattan,UN/Turtle Bay South,Yellow Zone,#6c83b5
234,3392077.36,104.88,Manhattan,Union Sq,Yellow Zone,#6c83b5
235,9018.73,14704.97,Bronx,University Heights/Morris Heights,Boro Zone,#5a9178
236,4026873.0300000003,18396.93,Manhattan,Upper East Side North,Yellow Zone,#2a5a5b
237,4468390.44,93.96,Manhattan,Upper East Side South,Yellow Zone,#6c83b5
238,2151563.84,152.01999999999998,Manhattan,Upper West Side North,Yellow Zone,#6c83b5
239,2874091.34,46.8,Manhattan,Upper West Side South,Yellow Zone,#6c83b5
240,1606.06,1324.35,Bronx,Van Cortlandt Park,Boro Zone,#e8e8e8
241,6221.81,10585.54,Bronx,Van Cortlandt Village,Boro Zone,#90b2b3
242,7573.93,25692.88,Bronx,Van Nest/Morris Park,Boro Zone,#5a9178
243,32933.51,48683.15,Manhattan,Washington Heights North,Boro Zone,#5a9178
244,164791.33000000002,251578.81,Manhattan,Washington Heights South,Boro Zone,#2a5a5b
245,738.0,206.58,Staten Island,West Brighton,Boro Zone,#e8e8e8
246,2189473.17,0.0,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,#6c83b5
247,24054.4,45968.67,Bronx,West Concourse,Boro Zone,#5a9178
248,6759.8099999999995,7724.51,Bronx,West Farms/Bronx River,Boro Zone,#90b2b3
249,2328619.47,67.86,Manhattan,West Village,Yellow Zone,#6c83b5
250,5096.2,11480.12,Bronx,Westchester Village/Unionport,Boro Zone,#b8d6be
251,1059.3,193.82999999999998,Staten Island,Westerleigh,Boro Zone,#e8e8e8
252,6049.52,3176.06,Queens,Whitestone,Boro Zone,#90b2b3
253,1887.98,4883.04,Queens,Willets Point,Boro Zone,#b8d6be
254,8487.39,17342.71,Bronx,Williamsbridge/Olinville,Boro Zone,#5a9178
255,108733.53,119285.19,Brooklyn,Williamsburg (North Side),Boro Zone,#2a5a5b
256,86025.34,45453.57,Brooklyn,Williamsburg (South Side),Boro Zone,#2a5a5b
257,8158.72,5936.91,Brooklyn,Windsor Terrace,Boro Zone,#90b2b3
258,8951.83,7631.89,Queens,Woodhaven,Boro Zone,#90b2b3
259,3991.51,6056.4800000000005,Bronx,Woodlawn/Wakefield,Boro Zone,#b8d6be
260,78021.85,143114.81,Queens,Woodside,Boro Zone,#2a5a5b
261,981232.9,564.74,Manhattan,World Trade Center,Yellow Zone,#6c83b5
262,1366345.78,640.25,Manhattan,Yorkville East,Yellow Zone,#6c83b5
263,1956467.0,5358.66,Manhattan,Yorkville West,Yellow Zone,#567994
264,1214020.47,15774.130000000001,Unknown,NV,,#2a5a5b
265,348980.75,14684.119999999999,Unknown,,,#2a5a5b
