PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,72491.99,610.95,EWR,Newark Airport,EWR,#6c83b5,8.007929680250134
2,684.3,265.42,Queens,Jamaica Bay,Boro Zone,#e8e8e8,4.964521545130232
3,6145.1,13012.97,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,9.06326510229579
4,175382.4,145.42000000000004,Manhattan,Alphabet City,Yellow Zone,#6c83b5,9.977386967228968
5,4248.92,80.24,Staten Island,Arden Heights,Boro Zone,#e8e8e8,2.711377991194885
6,728.27,250.28,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,6.147784301362936
7,141396.13,250285.32,Queens,Astoria,Boro Zone,#2a5a5b,10.615930614371115
8,5110.01,353.07,Queens,Astoria Park,Boro Zone,#e8e8e8,5.360493724974712
9,3153.34,6536.51,Queens,Auburndale,Boro Zone,#b8d6be,8.671087838469901
10,176338.69,14029.53,Queens,Baisley Park,Boro Zone,#567994,10.137472918401922
11,4328.38,7154.35,Brooklyn,Bath Beach,Boro Zone,#b8d6be,8.509417035331277
12,105465.05,150.75,Manhattan,Battery Park,Yellow Zone,#6c83b5,7.909452767798161
13,1396792.83,254.73,Manhattan,Battery Park City,Yellow Zone,#6c83b5,10.762033486916334
14,22963.72,37718.72,Brooklyn,Bay Ridge,Boro Zone,#5a9178,10.228311496153415
15,4489.13,5237.32,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,7.992691136834003
16,6556.17,13097.4,Queens,Bayside,Boro Zone,#b8d6be,8.780833564387738
17,24380.55,52183.34,Brooklyn,Bedford,Boro Zone,#5a9178,10.497209347435302
18,9761.95,20776.33,Bronx,Bedford Park,Boro Zone,#5a9178,10.16829268182175
19,5213.03,7291.91,Queens,Bellerose,Boro Zone,#b8d6be,8.283764428182455
20,5659.93,12025.64,Bronx,Belmont,Boro Zone,#b8d6be,9.39302852823101
21,7383.12,15519.58,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,9.242596504024487
22,12703.76,17896.41,Brooklyn,Bensonhurst West,Boro Zone,#90b2b3,9.685340249162717
23,4553.31,2004.15,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,7.920471931626471
24,281234.61,23773.27,Manhattan,Bloomingdale,Yellow Zone,#2a5a5b,11.163529252392433
25,100972.59,142889.73,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,10.578968601865924
26,13802.78,20701.99,Brooklyn,Borough Park,Boro Zone,#5a9178,9.862611910743551
27,1622.67,1893.92,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,6.6784175835046
28,54582.01,13100.78,Queens,Briarwood/Jamaica Hills,Boro Zone,#567994,9.24319083812162
29,7408.91,25914.88,Brooklyn,Brighton Beach,Boro Zone,#73ae80,9.278387729939404
30,854.73,1416.86,Queens,Broad Channel,Boro Zone,#e8e8e8,6.225923833320515
31,1496.31,5276.2,Bronx,Bronx Park,Boro Zone,#b8d6be,7.814742870530147
32,7955.79,12212.54,Bronx,Bronxdale,Boro Zone,#b8d6be,9.490666959049442
33,127402.36,211565.46,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,10.286045960695493
34,2509.77,2275.99,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,8.406623576371905
35,28215.55,44264.52,Brooklyn,Brownsville,Boro Zone,#5a9178,11.064885264062609
36,13454.44,26872.53,Brooklyn,Bushwick North,Boro Zone,#5a9178,9.37702192571986
37,25071.36,30711.88,Brooklyn,Bushwick South,Boro Zone,#5a9178,10.323503613510189
38,8967.08,10476.89,Queens,Cambria Heights,Boro Zone,#90b2b3,9.4779095289974
39,31868.97,48932.32,Brooklyn,Canarsie,Boro Zone,#5a9178,10.925587159539978
40,47528.05,31328.35,Brooklyn,Carroll Gardens,Boro Zone,#5a9178,8.613777105131543
41,348397.49,336610.2,Manhattan,Central Harlem,Boro Zone,#2a5a5b,12.098229105272216
42,173163.33000000002,212057.44,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,11.94775932489904
43,1678566.38,81595.04000000001,Manhattan,Central Park,Yellow Zone,#2a5a5b,12.101925060640989
44,1960.85,0.0,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8,9.245780872196187
45,284163.14,336.09,Manhattan,Chinatown,Yellow Zone,#6c83b5,9.876997776013635
46,2311.08,5787.24,Bronx,City Island,Boro Zone,#b8d6be,7.9621369927368315
47,8733.24,14893.36,Bronx,Claremont/Bathgate,Boro Zone,#90b2b3,9.914185128884302
48,3527428.18,0.0,Manhattan,Clinton East,Yellow Zone,#6c83b5,12.932632382393715
49,32471.91,64601.72,Brooklyn,Clinton Hill,Boro Zone,#5a9178,10.045096049848413
50,964715.58,138.94,Manhattan,Clinton West,Yellow Zone,#6c83b5,11.953731397393009
51,20007.37,46204.84,Bronx,Co-Op City,Boro Zone,#5a9178,10.29335498015457
52,54976.45,59108.51,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b,9.133160146820993
53,4238.9,5106.24,Queens,College Point,Boro Zone,#b8d6be,8.81061177855995
54,4662.94,4263.86,Brooklyn,Columbia Street,Boro Zone,#b8d6be,7.981155736956149
55,17507.07,86342.13,Brooklyn,Coney Island,Boro Zone,#5a9178,10.815434061925178
56,37697.43,20242.95,Queens,Corona,Boro Zone,#5a9178,9.362193271068953
57,485.75,1351.32,Queens,Corona,Boro Zone,#e8e8e8,7.744751689738331
58,922.95,1000.4,Bronx,Country Club,Boro Zone,#e8e8e8,6.375757089983345
59,489.92,543.04,Bronx,Crotona Park,Boro Zone,#e8e8e8,6.275364476264302
60,5723.36,8598.59,Bronx,Crotona Park East,Boro Zone,#b8d6be,9.427175265489401
61,48169.97,87641.92,Brooklyn,Crown Heights North,Boro Zone,#5a9178,11.393738356564878
62,13026.07,23087.77,Brooklyn,Crown Heights South,Boro Zone,#5a9178,9.996504195102649
