PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount
199,28.79,0.0,Bronx,Rikers Island,Boro Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0,3.3600281046240843
200,1689.81,1755.12,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,#b8d6be,-60.703646600018146,-69.34015082566307,#90b2b3,-65.63544299756802,8.14465886393798
201,2393.34,1421.51,Queens,Rockaway Park,Boro Zone,#b8d6be,42.12823573426449,-17.434714929603643,#e8e8e8,12.016643127075618,8.24665662446588
202,3329.43,829.45,Manhattan,Roosevelt Island,Boro Zone,#b8d6be,-56.73615189899736,-50.85439700427791,#90b2b3,-55.67823108517399,8.333001086236969
203,7437.55,2867.13,Queens,Rosedale,Boro Zone,#90b2b3,30.193481529717182,-43.41898052217157,#b8d6be,-4.409187763625008,9.240353439955461
204,615.13,192.44,Staten Island,Rossville/Woodrow,Boro Zone,#e8e8e8,162.15905216501875,168.95877009084558,#e8e8e8,163.74799960808647,6.694029738646186
205,17641.06,9471.23,Queens,Saint Albans,Boro Zone,#2a5a5b,34.31709874226145,-41.087408835741066,#b8d6be,-7.183512583086158,10.207742409600293
206,4214.76,965.66,Staten Island,Saint George/New Brighton,Boro Zone,#b8d6be,254.98694516971284,-33.156590478036364,#b8d6be,96.8274593838812,8.552641413047716
207,1779.56,1122.39,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,#b8d6be,-70.02523219344906,178.82694887464604,#b5c0da,-54.22358582831181,7.973138203798805
208,6541.45,4390.78,Bronx,Schuylerville/Edgewater Park,Boro Zone,#5a9178,35.340998197922346,-47.63067939209901,#b8d6be,-17.290167557274152,9.299470585977755
209,17762.42,279.82,Manhattan,Seaport,Yellow Zone,#6c83b5,-94.86222010362673,143.11033883579498,#6c83b5,-94.78301904250793,9.800470954422755
210,6566.91,5767.09,Brooklyn,Sheepshead Bay,Boro Zone,#5a9178,-27.279884921913663,-80.98607128644842,#5a9178,-68.66462100044562,9.420114955551439
211,20635.36,99.74,Manhattan,SoHo,Yellow Zone,#6c83b5,-97.87333128725986,58.948207171314756,#6c83b5,-97.86319032544635,9.939583195432295
212,6791.85,5790.02,Bronx,Soundview/Bruckner,Boro Zone,#5a9178,55.05798821971602,-60.27779378552004,#b8d6be,-33.62760385894427,9.440012167855965
213,13899.06,16782.5,Bronx,Soundview/Castle Hill,Boro Zone,#5a9178,15.683113367962925,-21.690285955859128,#e8e8e8,-8.264560167674773,10.331417101646132
214,284.03,61.87,Staten Island,South Beach/Dongan Hills,Boro Zone,#e8e8e8,175.62348374575444,-62.91212084881909,#b8d6be,28.17282395227331,5.846149715943123
215,12013.67,5892.05,Queens,South Jamaica,Boro Zone,#5a9178,-80.35442480741443,-43.10628181656663,#90b2b3,-74.9599347096588,9.792875493855263
216,11164.99,4263.16,Queens,South Ozone Park,Boro Zone,#90b2b3,-80.99118017210617,-64.03534746388274,#90b2b3,-78.14387362215874,9.643949041863172
217,3613.9,1334.02,Brooklyn,South Williamsburg,Boro Zone,#b8d6be,-54.60306732975994,-73.301231247098,#5a9178,-61.81344315104387,8.506722565232925
218,9724.19,5392.41,Queens,Springfield Gardens North,Boro Zone,#5a9178,5.2673797659784265,-30.970348437542,#b8d6be,-11.336157294065341,9.62354875672212
219,11661.44,2618.18,Queens,Springfield Gardens South,Boro Zone,#90b2b3,-73.55692733157264,-16.392144339773278,#b5c0da,-69.76685346929294,9.566588624895248
220,6099.7,5346.81,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,#5a9178,-12.130732851325092,-58.97571447862703,#b8d6be,-42.696020589665025,9.345440159026909
221,2553.6,438.37,Staten Island,Stapleton,Boro Zone,#e8e8e8,287.4315364658403,-24.805310645305166,#e8e8e8,140.88190066742342,8.003687312306132
222,5769.59,4243.03,Brooklyn,Starrett City,Boro Zone,#90b2b3,-40.30287321891778,-61.18262699265833,#90b2b3,-51.384475847174535,9.211601576323522
223,11449.56,2862.31,Queens,Steinway,Boro Zone,#90b2b3,-90.83352407541331,-96.59955454474607,#2a5a5b,-93.1548829415522,9.56884454186055
224,24045.93,288.42,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,#6c83b5,-89.68068922862692,114.66210181601666,#6c83b5,-89.56293186211705,10.099644211411542
225,16221.64,13669.34,Brooklyn,Stuyvesant Heights,Boro Zone,#2a5a5b,-14.274948778911442,-59.10566624783103,#b8d6be,-42.90042936934456,10.30531204162575
226,31005.16,8000.72,Queens,Sunnyside,Boro Zone,#2a5a5b,-86.76913164942651,-86.66403527311931,#2a5a5b,-86.74770998426172,10.571467682978014
227,4900.7,8882.369999999999,Brooklyn,Sunset Park East,Boro Zone,#5a9178,-25.26549833167619,15.63267261512664,#e8e8e8,-3.202116437788561,9.531196306401705
228,17928.27,7549.67,Brooklyn,Sunset Park West,Boro Zone,#2a5a5b,-2.1332426445461765,-53.44612402001349,#b8d6be,-26.228134486444915,10.145568258694041
229,177431.92,258.67,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,#6c83b5,-92.82592504324724,156.7699027198729,#6c83b5,-92.81575891143238,12.08779905832305
230,105708.02,257.56,Manhattan,Times Sq/Theatre District,Yellow Zone,#6c83b5,-97.67635954147936,169.4987966935231,#6c83b5,-97.67074687125195,11.570869603381098
231,74330.39,668.95,Manhattan,TriBeCa/Civic Center,Yellow Zone,#6c83b5,-96.75482860022787,594.6521287642784,#6c83b5,-96.72576074409812,11.225234592479728
232,21566.2,1183.66,Manhattan,Two Bridges/Seward Park,Yellow Zone,#567994,-89.06923243519844,427.7599429284823,#6c83b5,-88.48239042850884,10.032314270514007
233,129752.57,259.77,Manhattan,UN/Turtle Bay South,Yellow Zone,#6c83b5,-92.72125974249904,260.79166666666663,#6c83b5,-92.7069819683613,11.775384648009732
234,157590.46,460.25,Manhattan,Union Sq,Yellow Zone,#6c83b5,-95.3541607907197,338.8348588863463,#6c83b5,-95.3407364693944,11.970671209882962
235,11341.8,10367.44,Bronx,University Heights/Morris Heights,Boro Zone,#5a9178,25.758283039851516,-29.497033995989103,#b8d6be,-8.491339883744944,9.985493255350322
236,337939.04,2112.11,Manhattan,Upper East Side North,Yellow Zone,#567994,-91.60790426014499,-88.51922576212446,#2a5a5b,-91.59385768162676,12.736851326453676
237,319701.85000000003,717.97,Manhattan,Upper East Side South,Yellow Zone,#6c83b5,-92.84525704965029,664.1230310770542,#6c83b5,-92.82934007781252,12.677387352437862
238,272679.02,1012.94,Manhattan,Upper West Side North,Yellow Zone,#567994,-87.32647319449279,566.3202210235497,#6c83b5,-87.28029266838234,12.519758519368958
239,244962.52,350.11,Manhattan,Upper West Side South,Yellow Zone,#6c83b5,-91.47687073856184,648.0982905982906,#6c83b5,-91.46482813105149,12.41028871689503
240,2459.57,970.88,Bronx,Van Cortlandt Park,Boro Zone,#b8d6be,53.14309552569644,-26.69007437610903,#e8e8e8,17.063823833525017,8.140446726889907
241,7292.33,5315.67,Bronx,Van Cortlandt Village,Boro Zone,#5a9178,17.205925606857154,-49.7836671534943,#b8d6be,-24.985199927412708,9.44208681209766
242,10172.07,11615.86,Bronx,Van Nest/Morris Park,Boro Zone,#5a9178,34.303723430240304,-54.78957594477537,#b8d6be,-34.50550263160189,9.98911142572073
243,10336.79,12244.73,Manhattan,Washington Heights North,Boro Zone,#5a9178,-68.61315420069103,-74.84811479947373,#5a9178,-72.33221746638492,10.024887151647054
244,42546.25,45884.02,Manhattan,Washington Heights South,Boro Zone,#2a5a5b,-74.18174244967864,-81.76157204972867,#5a9178,-78.76162060996977,11.389969610827587
245,979.61,680.09,Staten Island,West Brighton,Boro Zone,#e8e8e8,32.738482384823854,229.21386387840062,#e8e8e8,75.7077219504965,7.414392142126673
246,52080.24,404.96,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,#6c83b5,-97.6213346336644,-0.0,#6c83b5,-97.60283886008979,10.868286504075193
247,13120.17,9100.23,Bronx,West Concourse,Boro Zone,#5a9178,-45.45625748303846,-80.20340810382379,#5a9178,-68.26702970892308,10.00876606483177
248,9667.28,5047.44,Bronx,West Farms/Bronx River,Boro Zone,#5a9178,43.01112013503339,-34.656826128777105,#b8d6be,1.5906856517944898,9.59660363228402
249,110497.09,167.74,Manhattan,West Village,Yellow Zone,#6c83b5,-95.25482409541135,147.1853816681403,#6c83b5,-95.24775917426409,11.614261362707252
250,5772.37,4875.9,Bronx,Westchester Village/Unionport,Boro Zone,#5a9178,13.26812134531612,-57.52744744828452,#b8d6be,-35.76215951429511,9.273152716627997
251,0.0,31.05,Staten Island,Westerleigh,Boro Zone,#e8e8e8,-100.0,-83.98080792446989,#2a5a5b,-97.52220440018195,3.435598808379488
252,1795.36,937.59,Queens,Whitestone,Boro Zone,#b8d6be,-70.32227350269113,-70.47946197489972,#90b2b3,-70.37638825959995,7.9131368908467
253,328.9600000000001,0.0,Queens,Willets Point,Boro Zone,#e8e8e8,-82.57608661108699,-100.0,#5a9178,-95.14164778718715,5.795936162826746
254,18683.83,14968.36,Bronx,Williamsbridge/Olinville,Boro Zone,#2a5a5b,120.1363434459828,-13.690766898598886,#e8e8e8,30.28284830488463,10.423833414678777
255,5783.7,2074.98,Brooklyn,Williamsburg (North Side),Boro Zone,#90b2b3,-94.68084959625608,-98.26048816286415,#2a5a5b,-96.55349350263872,8.969373932388633
256,6540.7,2400.73,Brooklyn,Williamsburg (South Side),Boro Zone,#90b2b3,-92.39677518275428,-94.71828065430284,#2a5a5b,-93.19934276911786,9.098450810633352
257,1653.78,1356.63,Brooklyn,Windsor Terrace,Boro Zone,#b8d6be,-79.72990861311578,-77.14922409132024,#5a9178,-78.64295529891177,8.009831561091408
258,9940.97,2765.4,Queens,Woodhaven,Boro Zone,#90b2b3,11.049584274947126,-63.76520101835849,#b8d6be,-23.380459872694427,9.449858721503237
259,10198.18,5966.95,Bronx,Woodlawn/Wakefield,Boro Zone,#5a9178,155.49679194089455,-1.4782513935487387,#e8e8e8,60.87924052472184,9.69061173219339
260,7000.77,4100.68,Queens,Woodside,Boro Zone,#90b2b3,-91.0271673896479,-97.13469206995418,#2a5a5b,-94.97982378860205,9.314831009399619
261,26568.21,227.84,Manhattan,World Trade Center,Yellow Zone,#6c83b5,-97.29236453445455,-59.655770797181,#567994,-97.2707155824901,10.196009767576559
262,145331.79,494.13,Manhattan,Yorkville East,Yellow Zone,#6c83b5,-89.3634691798148,-22.82233502538071,#6c83b5,-89.33230356421419,11.890168860533876
263,285583.72000000003,2387.85,Manhattan,Yorkville West,Yellow Zone,#567994,-85.40309036646158,-55.439419556381644,#567994,-85.32124561975604,12.570617038967631
264,85782.48,746.28,Unknown,NV,,#6c83b5,-92.93401700220095,-95.26896253549324,#2a5a5b,-92.96396650302418,11.368232123208031
265,28513.98,7614.2,Unknown,,,#2a5a5b,-91.82935448445221,-48.14670542054954,#567994,-90.06552928799529,10.494828449222185
