PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,44324.5,829.99,EWR,Newark Airport,EWR,#b5c0da,10.991206557577476
2,571.42,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,5.900828426848538
3,5651.61,20283.82,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,9.782078952456693
4,229566.45,7.8,Manhattan,Alphabet City,Yellow Zone,#6c83b5,12.17801107687482
5,1386.94,1833.72,Staten Island,Arden Heights,Boro Zone,#e8e8e8,6.988164073483866
6,802.74,945.5,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,6.512294955690041
7,145446.22,277110.29,Queens,Astoria,Boro Zone,#2a5a5b,12.592614975161641
8,3610.04,24.31,Queens,Astoria Park,Boro Zone,#e8e8e8,8.049299335033758
9,3795.53,8237.99,Queens,Auburndale,Boro Zone,#b8d6be,9.379269313381167
10,142713.77,20122.91,Queens,Baisley Park,Boro Zone,#567994,11.796885469111892
11,3935.15,10554.3,Brooklyn,Bath Beach,Boro Zone,#b8d6be,9.18184212714476
12,41627.84,26.6,Manhattan,Battery Park,Yellow Zone,#b5c0da,10.596640733078074
13,1271740.88,275.14,Manhattan,Battery Park City,Yellow Zone,#6c83b5,13.94344892876154
14,21727.82,55886.72,Brooklyn,Bay Ridge,Boro Zone,#5a9178,10.919019092799218
15,4579.94,5051.59,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,9.029059473509468
16,7431.53,10392.04,Queens,Bayside,Boro Zone,#b8d6be,9.664984774881841
17,27101.45,67428.2,Brooklyn,Bedford,Boro Zone,#5a9178,11.182288430394829
18,7056.97,29846.79,Bronx,Bedford Park,Boro Zone,#73ae80,10.243433392064468
19,3791.83,7608.07,Queens,Bellerose,Boro Zone,#b8d6be,9.39526520397358
20,3910.7,14294.19,Bronx,Belmont,Boro Zone,#b8d6be,9.656921831277426
21,7525.81,24902.03,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,9.904162324826093
22,10799.79,30784.61,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,10.221576489852767
23,2684.68,958.69,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,8.218539146413086
24,310121.27,24188.48,Manhattan,Bloomingdale,Yellow Zone,#567994,12.627447749104771
25,111768.14,176759.05,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,12.335211360708191
26,15131.54,41661.96,Brooklyn,Borough Park,Boro Zone,#5a9178,10.479709548130547
27,38.6,86.88,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,6.791086622174933
28,38557.57,20607.65,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,11.284922626420048
29,5051.36,24717.59,Brooklyn,Brighton Beach,Boro Zone,#b8d6be,10.055036278787643
30,241.81,335.68,Queens,Broad Channel,Boro Zone,#e8e8e8,5.621487231929371
31,923.49,2803.76,Bronx,Bronx Park,Boro Zone,#b8d6be,8.089368970986973
32,8635.27,27964.35,Bronx,Bronxdale,Boro Zone,#5a9178,9.930958253881519
33,131472.78,216262.11,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,12.58159889184998
34,2406.48,2358.45,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,8.729288737653297
35,24925.7,61208.4,Brooklyn,Brownsville,Boro Zone,#5a9178,11.138662904501011
36,15353.53,34194.91,Brooklyn,Bushwick North,Boro Zone,#5a9178,10.380956062600081
37,29450.17,36731.14,Brooklyn,Bushwick South,Boro Zone,#5a9178,10.848559114206815
38,8228.91,15261.59,Queens,Cambria Heights,Boro Zone,#90b2b3,9.849028198836423
39,26886.04,65634.78,Brooklyn,Canarsie,Boro Zone,#5a9178,11.257206422029123
40,54227.23,41604.8,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b,11.270359131709458
41,368600.82,384617.57,Manhattan,Central Harlem,Boro Zone,#2a5a5b,13.319433602581759
42,176591.41,248814.88,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,12.768936552610539
43,1558833.14,91901.85,Manhattan,Central Park,Yellow Zone,#2a5a5b,14.225214821476454
44,1979.46,199.1,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8,7.683431304981674
45,273673.18,34.18,Manhattan,Chinatown,Yellow Zone,#6c83b5,12.31520391794051
46,659.6,3365.13,Bronx,City Island,Boro Zone,#b8d6be,8.332178411149616
47,8183.05,25077.31,Bronx,Claremont/Bathgate,Boro Zone,#90b2b3,10.009416156801061
48,3657019.84,1027.44,Manhattan,Clinton East,Yellow Zone,#6c83b5,14.967464285639052
49,38417.51,83247.17,Brooklyn,Clinton Hill,Boro Zone,#5a9178,11.332465015241628
50,1044861.09,148.66,Manhattan,Clinton West,Yellow Zone,#6c83b5,13.656357440115023
51,22713.57,64599.97,Bronx,Co-Op City,Boro Zone,#5a9178,11.085558247194319
52,66736.23,72973.66,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b,11.705660116812611
53,6601.29,4352.69,Queens,College Point,Boro Zone,#b8d6be,9.264740485200205
54,3660.04,3614.75,Brooklyn,Columbia Street,Boro Zone,#b8d6be,8.881016524631574
55,7945.84,68429.29,Brooklyn,Coney Island,Boro Zone,#5a9178,11.03747695925176
56,18127.2,27234.78,Queens,Corona,Boro Zone,#5a9178,11.231216319024954
57,601.07,620.45,Queens,Corona,Boro Zone,#e8e8e8,7.074963197966044
58,657.36,1199.86,Bronx,Country Club,Boro Zone,#e8e8e8,7.837337289177502
59,690.5,1197.42,Bronx,Crotona Park,Boro Zone,#e8e8e8,7.338790663201832
60,4309.65,11940.39,Bronx,Crotona Park East,Boro Zone,#b8d6be,9.547615143622854
61,50013.56,120193.28,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b,11.723095138316006
62,15697.79,35772.74,Brooklyn,Crown Heights South,Boro Zone,#5a9178,10.504413353034485
63,6208.39,13102.98,Brooklyn,Cypress Hills,Boro Zone,#b8d6be,9.887446073246759
64,3765.56,3555.23,Queens,Douglaston,Boro Zone,#b8d6be,9.013689032514
65,155527.08,207530.98,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,12.579154221601401
66,60221.83,158607.47,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b,12.149361913818566
67,5445.66,10992.32,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,9.33068456950015
68,2787298.74,276.33,Manhattan,East Chelsea,Yellow Zone,#6c83b5,14.78846262348782
69,21432.93,46932.72,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,10.819219928558663
70,28779.76,10255.24,Queens,East Elmhurst,Boro Zone,#90b2b3,10.43300724820128
71,16438.9,38450.02,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,10.768566881406384
72,22098.71,45704.82,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178,10.781187964517411
73,1363.23,3893.74,Queens,East Flushing,Boro Zone,#b8d6be,8.382094857494454
74,374509.43,524047.24,Manhattan,East Harlem North,Boro Zone,#2a5a5b,13.557574273507358
75,780940.11,487400.49,Manhattan,East Harlem South,Boro Zone,#2a5a5b,13.893682079136704
76,48207.99,102371.59,Brooklyn,East New York,Boro Zone,#2a5a5b,11.586870109501007
77,10035.62,25378.0,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#90b2b3,10.282332466461627
78,9802.67,25988.66,Bronx,East Tremont,Boro Zone,#5a9178,10.344810674975939
79,3099868.5500000007,300.65,Manhattan,East Village,Yellow Zone,#6c83b5,14.82657380876541
80,53840.0,65697.6,Brooklyn,East Williamsburg,Boro Zone,#2a5a5b,11.42539209722167
81,9883.15,28673.7,Bronx,Eastchester,Boro Zone,#5a9178,10.177420791449274
82,48202.51,294770.72000000003,Queens,Elmhurst,Boro Zone,#2a5a5b,12.57231288580976
83,12876.36,38256.87,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178,10.537939904280757
84,663.42,409.8,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,5.832849751258659
85,12533.09,27011.6,Brooklyn,Erasmus,Boro Zone,#5a9178,10.185662362820484
86,7990.37,15448.7,Queens,Far Rockaway,Boro Zone,#90b2b3,10.131791764703717
87,1098578.96,249.72,Manhattan,Financial District North,Yellow Zone,#6c83b5,13.791389080245327
88,621598.93,120.86,Manhattan,Financial District South,Yellow Zone,#6c83b5,13.195260877231942
89,36623.87,67888.62,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178,11.297465072455367
90,1962460.72,301.62,Manhattan,Flatiron,Yellow Zone,#6c83b5,14.371207448470832
91,21420.55,50966.05,Brooklyn,Flatlands,Boro Zone,#5a9178,10.882925838601714
92,15730.23,81337.33,Queens,Flushing,Boro Zone,#5a9178,11.303094901268114
93,61223.09,4537.22,Queens,Flushing Meadows-Corona Park,Boro Zone,#567994,12.21406035863917
94,4758.09,12062.75,Bronx,Fordham South,Boro Zone,#b8d6be,9.45099844467155
95,37087.91,240091.29,Queens,Forest Hills,Boro Zone,#5a9178,12.22329700095771
96,946.28,686.84,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8,6.844591812024099
97,100924.34,229592.25,Brooklyn,Fort Greene,Boro Zone,#2a5a5b,12.517550867894096
98,5047.83,6287.89,Queens,Fresh Meadows,Boro Zone,#b8d6be,9.21525527403312
