PULocationID,yellow_total_amount,yellow_log_total_amount,green_total_amount,green_log_total_amount,Borough,Zone,service_zone,bivcolor
243,15327.99,9.637435847809593,24707.21,10.114850382854733,Manhattan,Washington Heights North,Boro Zone,#5a9178
244,76358.99,11.243201050931884,130117.94,11.77619654892185,Manhattan,Washington Heights South,Boro Zone,#2a5a5b
245,99.52,4.600358628990869,35.379999999999995,3.566146688731639,Staten Island,West Brighton,Boro Zone,#e8e8e8
246,763795.3,13.54605510031131,595.01,6.388578212127087,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,#6c83b5
247,11353.23,9.337257563921712,16586.21,9.716326906211593,Bronx,West Concourse,Boro Zone,#5a9178
248,4569.32,8.427119676318046,5583.56,8.627581844775992,Bronx,West Farms/Bronx River,Boro Zone,#90b2b3
249,934721.9,13.74800433087373,134.1,4.898585790287632,Manhattan,West Village,Yellow Zone,#6c83b5
250,6166.62,8.726906154802105,7949.32,8.98084166939889,Bronx,Westchester Village/Unionport,Boro Zone,#90b2b3
251,24.85,3.2128577525426376,0.0,0.0,Staten Island,Westerleigh,Boro Zone,#e8e8e8
252,3942.82,8.279651482315701,3028.29,8.015753382758737,Queens,Whitestone,Boro Zone,#b8d6be
253,447.34000000000003,6.103318931882124,150.46,5.013697268132075,Queens,Willets Point,Boro Zone,#e8e8e8
254,8712.19,9.072478473374066,16630.95,9.719020696231853,Bronx,Williamsbridge/Olinville,Boro Zone,#5a9178
255,31129.96,10.34592597850068,28021.39,10.240723426083859,Brooklyn,Williamsburg (North Side),Boro Zone,#2a5a5b
256,28183.2,10.24648133471898,11227.14,9.326089340319571,Brooklyn,Williamsburg (South Side),Boro Zone,#2a5a5b
257,3635.92,8.198617452855098,2245.44,7.716656772063924,Brooklyn,Windsor Terrace,Boro Zone,#b8d6be
258,4154.75,8.332007537007632,3695.27,8.214808902431233,Queens,Woodhaven,Boro Zone,#90b2b3
259,4485.15,8.408527218749684,6915.81,8.841565373898332,Bronx,Woodlawn/Wakefield,Boro Zone,#90b2b3
260,37057.9,10.520236833366054,47534.06,10.769201785694902,Queens,Woodside,Boro Zone,#2a5a5b
261,353550.28,12.775780988999264,826.71,6.717453968471911,Manhattan,World Trade Center,Yellow Zone,#6c83b5
262,688824.37,13.442741611841448,470.15000000000003,6.153051792723086,Manhattan,Yorkville East,Yellow Zone,#6c83b5
263,979706.53,13.795008346616227,3002.55,8.007217206604825,Manhattan,Yorkville West,Yellow Zone,#567994
264,408870.17,12.921152951869658,3969.16,8.286309764391806,Unknown,NV,,#567994
265,120432.26,11.698842716166629,11731.15,9.370002976057677,Unknown,,,#2a5a5b
