PULocationID,yellow_total_amount,yellow_log_total_amount,green_total_amount,green_log_total_amount,Borough,Zone,service_zone,bivcolor
49,15436.15,9.644467440153699,27749.41,10.230969857687295,Brooklyn,Clinton Hill,Boro Zone,#5a9178
50,495430.95,13.113183268853794,586.13,6.373541607976906,Manhattan,Clinton West,Yellow Zone,#6c83b5
51,12622.09,9.443203732525989,20493.84,9.927879632166116,Bronx,Co-Op City,Boro Zone,#5a9178
52,34180.74,10.439417606522992,31071.51,10.344046601141784,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b
53,2933.85,7.9840708326516365,2581.63,7.856176261370573,Queens,College Point,Boro Zone,#b8d6be
54,2589.85,7.8593552379585265,1324.79,7.1890092352933275,Brooklyn,Columbia Street,Boro Zone,#e8e8e8
55,4636.88,8.44179700525565,32440.07,10.38714966605686,Brooklyn,Coney Island,Boro Zone,#5a9178
56,21658.85,9.98316942588602,8988.48,9.103699036418634,Queens,Corona,Boro Zone,#90b2b3
57,251.48,5.5273634635148605,404.46000000000004,6.002552844093403,Queens,Corona,Boro Zone,#e8e8e8
58,580.5600000000001,6.363993154969882,410.84,6.018203844297603,Bronx,Country Club,Boro Zone,#e8e8e8
59,190.52,5.249757175932659,484.81,6.183757061605076,Bronx,Crotona Park,Boro Zone,#e8e8e8
60,2709.43,7.904493559647526,4296.5,8.365556016753278,Bronx,Crotona Park East,Boro Zone,#b8d6be
61,27780.38,10.232085295120466,37794.74,10.539925218485788,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b
62,8275.34,9.021035287014485,9866.89,9.196939986523006,Brooklyn,Crown Heights South,Boro Zone,#5a9178
63,4409.28,8.391466689805538,6021.66,8.703118247799816,Brooklyn,Cypress Hills,Boro Zone,#90b2b3
64,3921.43,8.274211662181022,1190.92,7.082481396654261,Queens,Douglaston,Boro Zone,#e8e8e8
65,77470.36,11.257650690575264,90358.37,11.411538931463946,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b
66,27081.86,10.20661941004414,66396.98,11.10340685250248,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b
67,1895.71,7.547348717529877,3303.87,8.102849787619812,Brooklyn,Dyker Heights,Boro Zone,#b8d6be
68,1188746.6,13.988410032690433,1056.2,6.962432840272833,Manhattan,East Chelsea,Yellow Zone,#6c83b5
69,9806.09,9.190758900223313,21793.13,9.989350061496209,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178
70,12233.49,9.411932551832058,4404.46,8.390372942887543,Queens,East Elmhurst,Boro Zone,#90b2b3
71,8512.710000000001,9.049315619757003,12633.92,9.444140539318921,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178
72,10454.13,9.254752394626962,14354.69,9.571831997059009,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178
73,711.39,6.567220802626128,1287.2,7.160224595678174,Queens,East Flushing,Boro Zone,#e8e8e8
74,221116.55000000002,12.30644521705188,237265.18,12.376933697565487,Manhattan,East Harlem North,Boro Zone,#2a5a5b
75,435147.76,12.983440930554176,222265.08000000002,12.3116260025929,Manhattan,East Harlem South,Boro Zone,#2a5a5b
76,27277.59,10.213820764946412,31531.76,10.358750570835344,Brooklyn,East New York,Boro Zone,#2a5a5b
77,6970.83,8.84948957844395,9676.82,9.177488613901911,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#5a9178
78,5503.4800000000005,8.613135898405785,10378.04,9.247447314227445,Bronx,East Tremont,Boro Zone,#5a9178
79,1228174.36,14.021039364580712,687.0,6.532334292222349,Manhattan,East Village,Yellow Zone,#6c83b5
80,19289.41,9.86731151963627,19558.13,9.881146335746541,Brooklyn,East Williamsburg,Boro Zone,#5a9178
81,5456.45,8.60455367412804,13494.7,9.510052294749281,Bronx,Eastchester,Boro Zone,#5a9178
82,37508.58,10.532324985787774,108316.63,11.592813976140711,Queens,Elmhurst,Boro Zone,#2a5a5b
83,6369.47,8.759271542592915,14309.24,9.568660761426639,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178
84,102.46,4.629472478511056,0.0,0.0,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8
85,6964.93,8.848642835912147,8493.58,9.047065862982453,Brooklyn,Erasmus,Boro Zone,#90b2b3
86,5044.07,8.525968574863215,9000.72,9.105059853118528,Queens,Far Rockaway,Boro Zone,#90b2b3
87,497892.23,13.118138926965225,3445.17,8.144728529109777,Manhattan,Financial District North,Yellow Zone,#567994
88,266783.23,12.494191734976116,1854.71,7.52548362858826,Manhattan,Financial District South,Yellow Zone,#567994
89,18697.61,9.836150987187974,19798.61,9.893367012198148,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178
90,843970.31,13.645872595234225,807.5600000000001,6.694017355742023,Manhattan,Flatiron,Yellow Zone,#6c83b5
91,9226.06,9.129787367456688,14493.0,9.581421053222517,Brooklyn,Flatlands,Boro Zone,#5a9178
92,7580.79,8.933372694841603,35991.26,10.491031410185174,Queens,Flushing,Boro Zone,#5a9178
93,82598.16,11.3217426832319,2043.96,7.6226443816604865,Queens,Flushing Meadows-Corona Park,Boro Zone,#567994
