PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,41381.45,745.08,EWR,Newark Airport,EWR,#b5c0da,11.224513259369433
2,462.57,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,4.339771321776768
3,5947.72,17223.33,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,10.032867527438174
4,197939.86,59.37,Manhattan,Alphabet City,Yellow Zone,#6c83b5,12.126723817899524
5,440.64,253.46,Staten Island,Arden Heights,Boro Zone,#e8e8e8,7.778127718911288
6,1259.66,631.54,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,6.676503948273764
7,147917.29,301518.55,Queens,Astoria,Boro Zone,#2a5a5b,12.71435354422803
8,2671.57,122.77,Queens,Astoria Park,Boro Zone,#e8e8e8,8.508503545565686
9,2933.52,7921.38,Queens,Auburndale,Boro Zone,#b8d6be,9.70543775285746
10,147570.88,22261.38,Queens,Baisley Park,Boro Zone,#567994,12.056402289048329
11,3890.68,10491.63,Brooklyn,Bath Beach,Boro Zone,#b8d6be,9.55010005615824
12,42733.47,0.0,Manhattan,Battery Park,Yellow Zone,#b5c0da,10.680433914839465
13,1171895.56,317.17,Manhattan,Battery Park City,Yellow Zone,#6c83b5,13.954593530761313
14,23093.06,60923.12,Brooklyn,Bay Ridge,Boro Zone,#5a9178,11.196407883304092
15,3309.84,4598.81,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,9.404521327282584
16,7356.65,10101.43,Queens,Bayside,Boro Zone,#b8d6be,10.02323754136007
17,26468.57,71513.77,Brooklyn,Bedford,Boro Zone,#5a9178,11.3602125344193
18,7451.19,28924.1,Bronx,Bedford Park,Boro Zone,#73ae80,10.511060232396007
19,4077.31,8108.88,Queens,Bellerose,Boro Zone,#b8d6be,9.671600891384141
20,4386.29,14563.98,Bronx,Belmont,Boro Zone,#b8d6be,9.814115208838526
21,8099.3,24254.7,Brooklyn,Bensonhurst East,Boro Zone,#90b2b3,10.173681851349428
22,10958.01,30605.92,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,10.538446141746618
23,2810.67,936.57,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,8.802976462284755
24,652364.65,22016.6,Manhattan,Bloomingdale,Yellow Zone,#567994,12.65942703594506
25,104106.34,193617.37,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,12.356299508676194
26,15732.65,45493.8,Brooklyn,Borough Park,Boro Zone,#5a9178,10.689190668904772
27,214.89,30.45,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,7.053819062112441
28,41062.38,20033.24,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,11.501970882024688
29,5445.03,25203.25,Brooklyn,Brighton Beach,Boro Zone,#b8d6be,10.426166645533106
30,221.44,190.04,Queens,Broad Channel,Boro Zone,#e8e8e8,5.361573816183052
31,1142.17,3476.5,Bronx,Bronx Park,Boro Zone,#b8d6be,8.166963148698654
32,9669.56,28930.12,Bronx,Bronxdale,Boro Zone,#5a9178,10.262830534095006
33,126442.44,247322.44,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,12.653663441980386
34,2186.47,2696.81,Brooklyn,Brooklyn Navy Yard,Boro Zone,#b8d6be,8.44831031387973
35,24585.24,61610.59,Brooklyn,Brownsville,Boro Zone,#5a9178,11.375725064044719
36,13274.07,32965.09,Brooklyn,Bushwick North,Boro Zone,#5a9178,10.578488583083544
37,29063.01,39698.15,Brooklyn,Bushwick South,Boro Zone,#5a9178,11.038323278549237
38,7088.07,16589.73,Queens,Cambria Heights,Boro Zone,#b8d6be,10.07835178917508
39,26419.5,67232.68000000001,Brooklyn,Canarsie,Boro Zone,#5a9178,11.53240706034902
40,55581.73,46544.46,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b,11.244379523245321
41,361640.34,390521.91,Manhattan,Central Harlem,Boro Zone,#2a5a5b,13.349016825816765
