PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,73606.11,762.78,EWR,Newark Airport,EWR,#6c83b5,8.392865033098847
2,395.95,352.32,Queens,Jamaica Bay,Boro Zone,#e8e8e8,5.151382258424339
3,5724.76,12445.36,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,9.305199540999524
4,162219.04,176.24,Manhattan,Alphabet City,Yellow Zone,#6c83b5,10.106361455516808
5,3748.35,25.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,7.339018079911442
6,875.03,139.15,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,5.908571949018416
7,123867.8,227139.98,Queens,Astoria,Boro Zone,#2a5a5b,10.814234948474134
8,5802.89,415.38,Queens,Astoria Park,Boro Zone,#e8e8e8,6.283798283774815
9,2957.05,7078.67,Queens,Auburndale,Boro Zone,#b8d6be,8.868204929634269
10,155120.36,17881.0,Queens,Baisley Park,Boro Zone,#567994,10.456195248741178
11,5656.53,7265.12,Brooklyn,Bath Beach,Boro Zone,#b8d6be,8.665444216740989
12,100526.45,189.4,Manhattan,Battery Park,Yellow Zone,#6c83b5,8.538641522622108
13,1325561.41,515.6,Manhattan,Battery Park City,Yellow Zone,#6c83b5,11.156761247731266
14,23812.04,37725.55,Brooklyn,Bay Ridge,Boro Zone,#5a9178,10.417769695650355
15,3662.62,4806.24,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,8.323916647270739
16,6009.46,11758.16,Queens,Bayside,Boro Zone,#b8d6be,9.093464924337168
17,22484.08,50798.87,Brooklyn,Bedford,Boro Zone,#5a9178,10.579363693625591
18,7564.96,20037.98,Bronx,Bedford Park,Boro Zone,#90b2b3,10.107799293159184
19,4141.24,6479.54,Queens,Bellerose,Boro Zone,#b8d6be,8.715668569841423
20,3671.86,10922.27,Bronx,Belmont,Boro Zone,#b8d6be,9.483204701922876
21,6480.23,15437.63,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,9.441345738077743
